# M=10, N=5, V0=0.0, V=0.25, PBC
#  time (tJ)                 S₁(ℓ=5)                 S₂(ℓ=5)
    0.000000      1.115895506599E+00      9.060985786475E-01
    0.100000      1.116055579587E+00      9.060424586419E-01
    0.200000      1.116477392632E+00      9.058912661010E-01
    0.300000      1.117031918960E+00      9.056932684264E-01
    0.400000      1.117603040837E+00      9.055183908657E-01
    0.500000      1.118132250851E+00      9.054436152621E-01
    0.600000      1.118608292850E+00      9.055355079216E-01
    0.700000      1.119029653104E+00      9.058334259278E-01
    0.800000      1.119377845454E+00      9.063374844266E-01
    0.900000      1.119617536479E+00      9.070046874480E-01
    1.000000      1.119708896309E+00      9.077547852632E-01
    1.100000      1.119657266706E+00      9.084848846643E-01
    1.200000      1.119565624659E+00      9.090893018417E-01
    1.300000      1.119634670301E+00      9.094795229971E-01
    1.400000      1.120060798413E+00      9.095993506697E-01
    1.500000      1.120824994546E+00      9.094325801168E-01
    1.600000      1.121639451436E+00      9.090036627464E-01
    1.700000      1.122158218512E+00      9.083735985470E-01
    1.800000      1.122168598136E+00      9.076324882996E-01
    1.900000      1.121670911397E+00      9.068880210753E-01
    2.000000      1.120861775597E+00      9.062486492376E-01
    2.100000      1.120033853326E+00      9.058029551842E-01
    2.200000      1.119415825029E+00      9.056008077713E-01
    2.300000      1.119021131827E+00      9.056432799980E-01
    2.400000      1.118744702344E+00      9.058849102079E-01
    2.500000      1.118496340740E+00      9.062461759971E-01
    2.600000      1.118265452648E+00      9.066307202906E-01
    2.700000      1.118118444335E+00      9.069430941126E-01
    2.800000      1.118116610964E+00      9.071060017623E-01
    2.900000      1.118223347737E+00      9.070769094467E-01
    3.000000      1.118323319856E+00      9.068611781257E-01
    3.100000      1.118330182071E+00      9.065158882095E-01
    3.200000      1.118244245906E+00      9.061394399620E-01
    3.300000      1.118132896613E+00      9.058474434333E-01
    3.400000      1.118079173327E+00      9.057417567536E-01
    3.500000      1.118109824831E+00      9.058825276416E-01
    3.600000      1.118239683631E+00      9.062714154377E-01
    3.700000      1.118462173600E+00      9.068497302102E-01
    3.800000      1.118746597516E+00      9.075107897303E-01
    3.900000      1.119086547304E+00      9.081228627022E-01
    4.000000      1.119520612256E+00      9.085576228464E-01
    4.100000      1.120055491040E+00      9.087185039070E-01
    4.200000      1.120593608073E+00      9.085633594738E-01
    4.300000      1.120928697344E+00      9.081164215692E-01
    4.400000      1.120921633461E+00      9.074660121584E-01
    4.500000      1.120586244905E+00      9.067471180355E-01
    4.600000      1.120087562814E+00      9.061117058109E-01
    4.700000      1.119679403686E+00      9.056935800914E-01
    4.800000      1.119587313467E+00      9.055770007601E-01
    4.900000      1.119820002674E+00      9.057777335070E-01
    5.000000      1.120194675861E+00      9.062415834711E-01
    5.100000      1.120506057085E+00      9.068601498986E-01
    5.200000      1.120593521632E+00      9.074986017345E-01
    5.300000      1.120394792581E+00      9.080273308621E-01
    5.400000      1.119949472429E+00      9.083490813135E-01
    5.500000      1.119399652074E+00      9.084154522121E-01
    5.600000      1.118915723114E+00      9.082306729256E-01
    5.700000      1.118560645336E+00      9.078446054933E-01
    5.800000      1.118298226261E+00      9.073391140308E-01
    5.900000      1.118082635893E+00      9.068114297014E-01
    6.000000      1.117908921700E+00      9.063562704157E-01
    6.100000      1.117823626167E+00      9.060478094600E-01
