# M=22, N=11, V0=0.0, V=0.25, PBC
#  time (tJ)                 S₁(n=5)                 S₂(n=5)
    0.000000      3.552713678801E-14      0.000000000000E+00
    0.100000      2.517518576324E-03      4.679551259734E-04
    0.200000      8.245065337198E-03      1.746050096168E-03
    0.300000      1.530536982466E-02      3.498419379098E-03
    0.400000      2.203521000279E-02      5.288292381584E-03
    0.500000      2.713885024214E-02      6.715482507741E-03
    0.600000      2.989793637801E-02      7.533855507815E-03
    0.700000      3.026404727559E-02      7.709953136773E-03
    0.800000      2.880658657697E-02      7.407317354015E-03
    0.900000      2.653508482176E-02      6.908582439030E-03
    1.000000      2.463706789500E-02      6.508327250575E-03
    1.100000      2.406625669093E-02      6.416562972653E-03
    1.200000      2.509706358164E-02      6.704207818419E-03
    1.300000      2.733528205301E-02      7.302827199250E-03
    1.400000      3.004131097106E-02      8.049881434546E-03
    1.500000      3.248273596698E-02      8.756100520785E-03
    1.600000      3.414050138173E-02      9.268078828549E-03
    1.700000      3.478304631799E-02      9.506264496647E-03
    1.800000      3.445593508350E-02      9.471523283634E-03
    1.900000      3.340949762906E-02      9.226140058835E-03
    2.000000      3.199133071261E-02      8.862566688793E-03
    2.100000      3.054046657709E-02      8.473679326237E-03
    2.200000      2.931662367834E-02      8.133323299605E-03
    2.300000      2.847802528470E-02      7.889013923279E-03
    2.400000      2.809225114038E-02      7.763325683188E-03
    2.500000      2.815682201532E-02      7.758642429502E-03
    2.600000      2.861722501468E-02      7.861347674176E-03
    2.700000      2.937541997322E-02      8.044474484874E-03
    2.800000      3.028694833238E-02      8.270244842454E-03
    2.900000      3.117797380820E-02      8.494518442982E-03
    3.000000      3.188188439600E-02      8.673930399116E-03
    3.100000      3.227454877671E-02      8.774463294518E-03
    3.200000      3.230005646924E-02      8.778724214046E-03
    3.300000      3.198136557305E-02      8.689168751824E-03
    3.400000      3.140929347801E-02      8.525930900016E-03
    3.500000      3.071186299342E-02      8.319994188907E-03
    3.600000      3.001794394723E-02      8.104110597317E-03
    3.700000      2.942884093638E-02      7.904394153772E-03
    3.800000      2.899993532257E-02      7.734815603402E-03
    3.900000      2.872676062564E-02      7.595444181541E-03
    4.000000      2.854291043177E-02      7.473977786344E-03
    4.100000      2.834348375482E-02      7.349400018765E-03
    4.200000      2.801915511839E-02      7.196583856790E-03
    4.300000      2.748006239925E-02      6.991047893667E-03
    4.400000      2.666434288066E-02      6.713468654515E-03
    4.500000      2.553996216305E-02      6.353689011730E-03
    4.600000      2.411025097900E-02      5.913810958294E-03
    4.700000      2.242004445516E-02      5.409725324458E-03
    4.800000      2.055749004280E-02      4.870405198110E-03
    4.900000      1.865282191643E-02      4.334654386645E-03
    5.000000      1.686938655227E-02      3.845689031923E-03
    5.100000      1.537886482146E-02      3.444651705102E-03
    5.200000      1.432526385325E-02      3.164575009070E-03
    5.300000      1.379935565204E-02      3.026225065630E-03
    5.400000      1.383570899780E-02      3.036694265585E-03
    5.500000      1.441365903065E-02      3.190803283694E-03
    5.600000      1.545633546134E-02      3.474607262760E-03
    5.700000      1.685989801501E-02      3.869797679081E-03
    5.800000      1.852865791050E-02      4.357633267696E-03
    5.900000      2.038850299039E-02      4.921221788941E-03
    6.000000      2.239479301480E-02      5.545495087899E-03
    6.100000      2.452378688518E-02      6.215011209651E-03
    6.200000      2.673886381719E-02      6.910576620460E-03
    6.300000      2.896059490247E-02      7.606274042399E-03
    6.400000      3.106755791074E-02      8.268515500863E-03
    6.500000      3.292078907399E-02      8.858156759454E-03
    6.600000      3.439112130803E-02      9.335700965185E-03
    6.700000      3.537732794855E-02      9.668502085360E-03
    6.800000      3.581854282192E-02      9.837987640438E-03
    6.900000      3.570973178145E-02      9.844584809276E-03
    7.000000      3.511569522080E-02      9.708505135548E-03
    7.100000      3.416619048651E-02      9.465803749255E-03
    7.200000      3.302598213712E-02      9.160760166870E-03
    7.300000      3.185520843908E-02      8.836946406175E-03
    7.400000      3.077883173145E-02      8.529769982383E-03
    7.500000      2.987494998603E-02      8.262622890611E-03
    7.600000      2.918083806242E-02      8.047307388606E-03
    7.700000      2.870585556440E-02      7.887730556019E-03
    7.800000      2.844679354702E-02      7.784644129664E-03
    7.900000      2.839931113676E-02      7.738984171796E-03
    8.000000      2.855902559117E-02      7.752255910577E-03
    8.100000      2.891530740607E-02      7.823995772800E-03
    8.200000      2.944171685230E-02      7.947845850173E-03
    8.300000      3.008530260960E-02      8.108474836439E-03
    8.400000      3.076231176069E-02      8.281195855882E-03
    8.500000      3.136689450098E-02      8.434925472085E-03
    8.600000      3.178928505954E-02      8.537699362894E-03
    8.700000      3.193731897187E-02      8.562938329638E-03
    8.800000      3.175643890381E-02      8.494443351886E-03
    8.900000      3.124139788234E-02      8.328720309238E-03
    9.000000      3.043431863282E-02      8.074359834700E-03
    9.100000      2.940894011990E-02      7.749282789799E-03
    9.200000      2.824962858110E-02      7.377205351764E-03
    9.300000      2.703782047909E-02      6.984458943436E-03
    9.400000      2.585089823516E-02      6.597505079942E-03
    9.500000      2.476428947923E-02      6.240641120580E-03
    9.600000      2.384322237835E-02      5.933094106688E-03
    9.700000      2.312439288793E-02      5.685231284151E-03
    9.800000      2.259657228904E-02      5.494720831462E-03
    9.900000      2.219216562591E-02      5.344473181838E-03
   10.000000      2.179699615110E-02      5.204385889870E-03
   10.100000      2.127671590748E-02      5.037999117244E-03
   10.200000      2.051426879496E-02      4.813381738568E-03
   10.300000      1.945111851795E-02      4.515572354232E-03
   10.400000      1.812480223972E-02      4.156535454490E-03
   10.500000      1.669048394960E-02      3.778575931937E-03
   10.600000      1.541172655154E-02      3.448750860654E-03
   10.700000      1.460766789663E-02      3.244629008414E-03
   10.800000      1.455407500072E-02      3.234804088422E-03
   10.900000      1.538045188916E-02      3.459723451362E-03
   11.000000      1.702967303711E-02      3.918812947184E-03
   11.100000      1.928482505633E-02      4.568320548745E-03
   11.200000      2.183882326304E-02      5.331164211100E-03
   11.300000      2.437541876528E-02      6.116281724879E-03
   11.400000      2.663738294363E-02      6.841779711587E-03
   11.500000      2.847445506782E-02      7.454734964197E-03
   11.600000      2.986433980435E-02      7.941440151637E-03
   11.700000      3.090405287272E-02      8.324962496915E-03
   11.800000      3.177110772308E-02      8.651043727378E-03
   11.900000      3.265375042314E-02      8.967186003076E-03
   12.000000      3.366383368203E-02      9.301991317333E-03
   12.100000      3.477908377509E-02      9.651758672662E-03
   12.200000      3.585161304849E-02      9.978998481166E-03
   12.300000      3.665895846850E-02      1.022357554100E-02
   12.400000      3.697340216057E-02      1.032286345955E-02
   12.500000      3.663908434563E-02      1.023405942145E-02
   12.600000      3.562989320868E-02      9.950901776995E-03
   12.700000      3.406821734446E-02      9.508900109435E-03
   12.800000      3.220029908240E-02      8.977205837398E-03
   12.900000      3.033484742080E-02      8.439940997887E-03
   13.000000      2.876238215411E-02      7.973442262607E-03
   13.100000      2.767834172088E-02      7.627178395823E-03
