# M=20, N=10, V0=0.0, V=0.25, PBC
#  time (tJ)                S₁(ℓ=10)                S₂(ℓ=10)
    0.000000      1.344029514838E+00      1.023174538960E+00
    0.100000      1.344475696719E+00      1.023412214477E+00
    0.200000      1.345684958436E+00      1.024053148000E+00
    0.300000      1.347319674509E+00      1.024902959441E+00
    0.400000      1.348947545032E+00      1.025703476835E+00
    0.500000      1.350183091257E+00      1.026208792543E+00
    0.600000      1.350807273426E+00      1.026254748278E+00
    0.700000      1.350824089313E+00      1.025800966729E+00
    0.800000      1.350438223890E+00      1.024934618648E+00
    0.900000      1.349964246817E+00      1.023838033357E+00
    1.000000      1.349701770133E+00      1.022733284913E+00
    1.100000      1.349835855386E+00      1.021822402400E+00
    1.200000      1.350402878831E+00      1.021240645045E+00
    1.300000      1.351306823925E+00      1.021033695324E+00
    1.400000      1.352364716817E+00      1.021160707509E+00
    1.500000      1.353369962348E+00      1.021517298752E+00
    1.600000      1.354157703005E+00      1.021968236183E+00
    1.700000      1.354647927843E+00      1.022379512915E+00
    1.800000      1.354852627993E+00      1.022642758973E+00
    1.900000      1.354851343605E+00      1.022689470805E+00
    2.000000      1.354751472146E+00      1.022496265628E+00
    2.100000      1.354653713126E+00      1.022084003350E+00
    2.200000      1.354634585854E+00      1.021513133265E+00
    2.300000      1.354744721405E+00      1.020876001391E+00
    2.400000      1.355012834650E+00      1.020285463932E+00
    2.500000      1.355445728276E+00      1.019859034009E+00
    2.600000      1.356023149664E+00      1.019699198714E+00
    2.700000      1.356694550227E+00      1.019872867916E+00
    2.800000      1.357385296305E+00      1.020394934399E+00
    2.900000      1.358012480853E+00      1.021221339402E+00
    3.000000      1.358504114491E+00      1.022255137131E+00
    3.100000      1.358813815922E+00      1.023365232444E+00
    3.200000      1.358927863174E+00      1.024413231260E+00
    3.300000      1.358865114236E+00      1.025281097635E+00
    3.400000      1.358669742241E+00      1.025892288413E+00
    3.500000      1.358398268619E+00      1.026221604924E+00
    3.600000      1.358103036859E+00      1.026292858662E+00
    3.700000      1.357815321465E+00      1.026166968787E+00
    3.800000      1.357545852666E+00      1.025925145834E+00
    3.900000      1.357295098663E+00      1.025652008540E+00
    4.000000      1.357057045034E+00      1.025422158400E+00
    4.100000      1.356819886539E+00      1.025291663780E+00
    4.200000      1.356566917139E+00      1.025293979617E+00
    4.300000      1.356279660246E+00      1.025438772248E+00
    4.400000      1.355949007343E+00      1.025712241478E+00
    4.500000      1.355585255456E+00      1.026078596596E+00
    4.600000      1.355216371477E+00      1.026483572509E+00
    4.700000      1.354874296475E+00      1.026861262200E+00
    4.800000      1.354586485385E+00      1.027144545174E+00
    4.900000      1.354379159637E+00      1.027277495900E+00
    5.000000      1.354278757146E+00      1.027226631951E+00
    5.100000      1.354307082691E+00      1.026987718693E+00
    5.200000      1.354469277958E+00      1.026586063575E+00
    5.300000      1.354741588162E+00      1.026070074881E+00
    5.400000      1.355076273484E+00      1.025499712617E+00
    5.500000      1.355424014639E+00      1.024933003970E+00
    5.600000      1.355752691785E+00      1.024414542566E+00
    5.700000      1.356052879617E+00      1.023969181291E+00
    5.800000      1.356331048657E+00      1.023601946212E+00
    5.900000      1.356597639704E+00      1.023302649691E+00
    6.000000      1.356856324040E+00      1.023052239061E+00
    6.100000      1.357099629735E+00      1.022828216714E+00
    6.200000      1.357313964701E+00      1.022607999331E+00
    6.300000      1.357483452780E+00      1.022370861716E+00
    6.400000      1.357585529514E+00      1.022100245917E+00
    6.500000      1.357591109169E+00      1.021788020300E+00
    6.600000      1.357480146866E+00      1.021440527839E+00
    6.700000      1.357263237370E+00      1.021083802128E+00
    6.800000      1.356989928000E+00      1.020763946822E+00
    6.900000      1.356734936284E+00      1.020539801621E+00
    7.000000      1.356572174539E+00      1.020468355646E+00
    7.100000      1.356555029769E+00      1.020587040833E+00
    7.200000      1.356709226245E+00      1.020899106734E+00
    7.300000      1.357033080887E+00      1.021367930367E+00
    7.400000      1.357499833379E+00      1.021923573152E+00
    7.500000      1.358058532503E+00      1.022480850903E+00
    7.600000      1.358634915435E+00      1.022963742400E+00
    7.700000      1.359142471230E+00      1.023327840197E+00
    7.800000      1.359511064826E+00      1.023572520125E+00
    7.900000      1.359713735661E+00      1.023738159788E+00
    8.000000      1.359767853684E+00      1.023889676200E+00
    8.100000      1.359710121296E+00      1.024093094010E+00
    8.200000      1.359565743091E+00      1.024394212247E+00
    8.300000      1.359335847406E+00      1.024806725278E+00
    8.400000      1.359012397943E+00      1.025312408733E+00
    8.500000      1.358606271004E+00      1.025870650679E+00
    8.600000      1.358160699456E+00      1.026431295332E+00
    8.700000      1.357734216035E+00      1.026944888940E+00
    8.800000      1.357365112661E+00      1.027367481719E+00
    8.900000      1.357052131484E+00      1.027661117317E+00
    9.000000      1.356768110455E+00      1.027793729262E+00
    9.100000      1.356483936193E+00      1.027742078161E+00
    9.200000      1.356181432149E+00      1.027498878741E+00
    9.300000      1.355856220974E+00      1.027081852803E+00
    9.400000      1.355519892592E+00      1.026539917540E+00
    9.500000      1.355202967019E+00      1.025951424144E+00
    9.600000      1.354949373042E+00      1.025411690816E+00
    9.700000      1.354796767255E+00      1.025011316790E+00
    9.800000      1.354755197008E+00      1.024811248928E+00
    9.900000      1.354802932157E+00      1.024823191251E+00
   10.000000      1.354901533242E+00      1.025003110097E+00
   10.100000      1.355015027491E+00      1.025261233277E+00
   10.200000      1.355122206959E+00      1.025485843092E+00
   10.300000      1.355219978533E+00      1.025573066782E+00
   10.400000      1.355318990084E+00      1.025452963641E+00
   10.500000      1.355435736388E+00      1.025104034366E+00
   10.600000      1.355584605405E+00      1.024552756981E+00
   10.700000      1.355771476770E+00      1.023860014857E+00
   10.800000      1.355986293655E+00      1.023100474632E+00
   10.900000      1.356199847935E+00      1.022342722084E+00
   11.000000      1.356380222543E+00      1.021636715225E+00
