# M=8, N=4, V0=0.0, V=0.25, PBC
#  time (tJ)                 S₁(n=1)                 S₂(n=1)
    0.000000      0.000000000000E+00      2.220446049250E-16
    0.100000      2.090812404145E-03      4.445407767586E-04
    0.200000      6.656125589906E-03      1.643582826112E-03
    0.300000      1.201956613672E-02      3.238936425890E-03
    0.400000      1.677401625858E-02      4.767968796873E-03
    0.500000      1.987258268682E-02      5.811530619038E-03
    0.600000      2.076354789323E-02      6.117532780923E-03
    0.700000      1.943152238405E-02      5.660343971749E-03
    0.800000      1.633910071244E-02      4.623735241565E-03
    0.900000      1.229356343271E-02      3.324031916714E-03
    1.000000      8.277597782297E-03      2.108198724341E-03
    1.100000      5.283055989361E-03      1.262792221745E-03
    1.200000      4.132927624770E-03      9.567222248756E-04
    1.300000      5.132324518677E-03      1.222618215644E-03
    1.400000      7.796651902642E-03      1.968071032662E-03
    1.500000      1.126574842314E-02      3.004211508060E-03
    1.600000      1.468529282155E-02      4.083478695953E-03
    1.700000      1.730992047837E-02      4.944875676403E-03
    1.800000      1.856794098536E-02      5.366983515326E-03
    1.900000      1.814251156474E-02      5.223848687495E-03
    2.000000      1.605321921065E-02      4.529798229548E-03
    2.100000      1.270665269946E-02      3.453580178950E-03
    2.200000      8.885402815682E-03      2.286507502012E-03
    2.300000      5.655357350988E-03      1.364525005070E-03
    2.400000      4.155243328163E-03      9.644686034349E-04
    2.500000      5.075667601433E-03      1.210237659608E-03
    2.600000      7.992114800961E-03      2.026118771891E-03
    2.700000      1.176656631503E-02      3.159043294880E-03
    2.800000      1.524462547143E-02      4.264529173848E-03
    2.900000      1.754828352909E-02      5.024407963363E-03
    3.000000      1.822349438584E-02      5.250850965699E-03
    3.100000      1.728788781036E-02      4.937388436659E-03
    3.200000      1.517104610766E-02      4.240753245575E-03
    3.300000      1.256034120612E-02      3.406679350059E-03
    3.400000      1.018609058381E-02      2.674788650297E-03
    3.500000      8.598958468814E-03      2.202669778222E-03
    3.600000      8.017177550203E-03      2.035879356798E-03
    3.700000      8.320862579691E-03      2.126627043537E-03
    3.800000      9.191132684752E-03      2.381881458745E-03
    3.900000      1.030118903326E-02      2.712044129185E-03
    4.000000      1.143684890592E-02      3.057363328574E-03
    4.100000      1.249460212118E-02      3.385875077358E-03
    4.200000      1.340746295521E-02      3.673914059621E-03
    4.300000      1.408057652023E-02      3.888664586924E-03
    4.400000      1.438901735147E-02      3.987848773222E-03
    4.500000      1.423399354619E-02      3.938092809166E-03
    4.600000      1.361409981067E-02      3.739659463443E-03
    4.700000      1.266539333066E-02      3.439710882603E-03
    4.800000      1.164288994749E-02      3.122300580979E-03
    4.900000      1.083922028369E-02      2.877145153954E-03
    5.000000      1.046255113983E-02      2.762602511222E-03
    5.100000      1.053627745014E-02      2.783044476566E-03
    5.200000      1.090464412449E-02      2.893624093628E-03
    5.300000      1.134960980370E-02      3.030021738473E-03
    5.400000      1.172385567519E-02      3.146045846373E-03
    5.500000      1.201643420170E-02      3.236845125978E-03
    5.600000      1.232677049467E-02      3.333377973528E-03
    5.700000      1.276435523919E-02      3.470593774179E-03
    5.800000      1.332646361082E-02      3.648203823888E-03
    5.900000      1.383259142554E-02      3.809426367342E-03
    6.000000      1.397325690898E-02      3.855116666501E-03
    6.100000      1.345679996385E-02      3.691577001259E-03
    6.200000      1.218052182381E-02      3.290099872658E-03
    6.300000      1.035122407211E-02      2.726313967180E-03
    6.400000      8.503784737107E-03      2.173972371468E-03
    6.500000      7.380056527063E-03      1.848550023954E-03
    6.600000      7.628742823687E-03      1.920992188847E-03
    6.700000      9.396222451493E-03      2.438684528225E-03
    6.800000      1.218857590609E-02      3.290316751410E-03
    6.900000      1.514827106081E-02      4.233214933263E-03
    7.000000      1.739805225081E-02      4.974340089760E-03
    7.100000      1.828791143261E-02      5.272686070836E-03
    7.200000      1.754224926611E-02      5.022285901094E-03
    7.300000      1.530663681885E-02      4.284763664078E-03
    7.400000      1.210008283461E-02      3.262810450451E-03
    7.500000      8.694848095265E-03      2.230035612296E-03
    7.600000      5.955683152994E-03      1.447345944679E-03
    7.700000      4.651126163723E-03      1.095754993025E-03
    7.800000      5.188180748704E-03      1.242715487627E-03
    7.900000      7.345054539496E-03      1.842190138260E-03
    8.000000      1.045298430772E-02      2.756971771747E-03
    8.100000      1.377163815934E-02      3.789935115840E-03
    8.200000      1.662417413923E-02      4.717125865743E-03
    8.300000      1.843825014915E-02      5.323438286981E-03
    8.400000      1.879601323263E-02      5.444290452604E-03
    8.500000      1.750941140626E-02      5.011296425096E-03
    8.600000      1.470514263749E-02      4.089685326820E-03
    8.700000      1.088653305560E-02      2.887868820416E-03
    8.800000      6.938540618230E-03      1.722454830588E-03
    8.900000      4.053104142244E-03      9.369584592078E-04
    9.000000      3.484501368544E-03      7.938807943297E-04
    9.100000      5.689211761934E-03      1.377218444960E-03
    9.200000      9.754972963187E-03      2.545740720517E-03
    9.300000      1.431008204586E-02      3.962311106310E-03
    9.400000      1.805856024257E-02      5.195805116063E-03
    9.500000      2.001842057824E-02      5.861982134233E-03
    9.600000      1.969755011913E-02      5.752011240808E-03
    9.700000      1.717678184475E-02      4.900835533234E-03
    9.800000      1.308239436006E-02      3.570956109460E-03
    9.900000      8.457436646753E-03      2.160247692743E-03
   10.000000      4.567945768647E-03      1.070760004231E-03
   10.100000      2.679838349262E-03      5.872606911048E-04
   10.200000      3.543025702290E-03      8.055676623708E-04
   10.300000      6.594733211287E-03      1.627178384130E-03
   10.400000      1.063070588479E-02      2.810350154059E-03
   10.500000      1.458352431509E-02      4.050372677243E-03
   10.600000      1.765142620572E-02      5.059024153375E-03
   10.700000      1.932025817787E-02      5.622960352962E-03
   10.800000      1.935658404983E-02      5.635302880399E-03
   10.900000      1.778981813282E-02      5.105318011690E-03
   11.000000      1.490122399898E-02      4.153076675977E-03
   11.100000      1.122104179800E-02      2.991016343489E-03
   11.200000      7.516781023856E-03      1.888871148067E-03
   11.300000      4.744309789577E-03      1.119000644765E-03
   11.400000      3.868972120524E-03      8.875499867229E-04
   11.500000      5.305286670874E-03      1.268855584562E-03
   11.600000      8.484633301301E-03      2.168200504832E-03
   11.700000      1.233036924214E-02      3.334541928811E-03
   11.800000      1.574557440515E-02      4.428664094015E-03
   11.900000      1.785735044362E-02      5.129127223181E-03
   12.000000      1.818527086265E-02      5.239318075492E-03
   12.100000      1.673469768999E-02      4.754264525149E-03
   12.200000      1.398963028675E-02      3.859534345834E-03
   12.300000      1.079837837722E-02      2.861385501504E-03
   12.400000      8.161126689586E-03      2.075610268436E-03
   12.500000      6.920726982622E-03      1.719327059553E-03
   12.600000      7.375371128131E-03      1.847420341709E-03
   12.700000      9.116981657912E-03      2.354610646319E-03
   12.800000      1.136664905118E-02      3.035285129898E-03
   12.900000      1.339506720629E-02      3.670004414354E-03
   13.000000      1.473828242967E-02      4.100374414067E-03
   13.100000      1.524399082496E-02      4.264662389603E-03
   13.200000      1.500846591484E-02      4.188340884702E-03
   13.300000      1.425579980388E-02      3.945077777176E-03
   13.400000      1.321891609849E-02      3.614145752774E-03
   13.500000      1.207553059377E-02      3.255781487825E-03
   13.600000      1.095495829772E-02      2.910928610743E-03
   13.700000      9.983024350251E-03      2.615764017063E-03
   13.800000      9.312747078874E-03      2.413702522815E-03
   13.900000      9.107421680430E-03      2.351794064401E-03
   14.000000      9.473733374348E-03      2.461011597527E-03
   14.100000      1.037600841825E-02      2.732688314593E-03
   14.200000      1.160284193535E-02      3.108221385529E-03
   14.300000      1.283466021851E-02      3.492773173369E-03
   14.400000      1.376994034697E-02      3.789619871716E-03
   14.500000      1.423518876652E-02      3.938554867038E-03
   14.600000      1.423328968413E-02      3.937673568237E-03
   14.700000      1.391544856203E-02      3.835916864696E-03
   14.800000      1.348704898573E-02      3.699776630001E-03
   14.900000      1.308612057115E-02      3.572656300082E-03
   15.000000      1.270093084705E-02      3.450707731552E-03
   15.100000      1.218945723065E-02      3.290705320439E-03
   15.200000      1.140061649582E-02      3.047435901175E-03
   15.300000      1.032510948118E-02      2.720002772360E-03
   15.400000      9.189158004918E-03      2.378859495974E-03
   15.500000      8.429812551944E-03      2.153343105539E-03
   15.600000      8.522949233053E-03      2.179558054331E-03
   15.700000      9.706979386180E-03      2.530548703578E-03
