# M=24, N=12, V0=0.0, V=0.25, PBC
#  time (tJ)                S₁(ℓ=12)                S₂(ℓ=12)
    0.000000      1.404509022984E+00      1.071424665818E+00
    0.100000      1.405566302170E+00      1.072053582954E+00
    0.200000      1.408411411580E+00      1.073769372522E+00
    0.300000      1.412219451685E+00      1.076110086194E+00
    0.400000      1.415945654861E+00      1.078458884594E+00
    0.500000      1.418655750020E+00      1.080221069883E+00
    0.600000      1.419807013279E+00      1.080985984911E+00
    0.700000      1.419389040953E+00      1.080625462637E+00
    0.800000      1.417889375693E+00      1.079304323572E+00
    0.900000      1.416099764529E+00      1.077408635454E+00
    1.000000      1.414816828869E+00      1.075422535038E+00
    1.100000      1.414558678148E+00      1.073795984655E+00
    1.200000      1.415455314925E+00      1.072841801833E+00
    1.300000      1.417306444388E+00      1.072684716120E+00
    1.400000      1.419704622259E+00      1.073265540221E+00
    1.500000      1.422179071272E+00      1.074387170515E+00
    1.600000      1.424330292507E+00      1.075780721756E+00
    1.700000      1.425920427493E+00      1.077170558467E+00
    1.800000      1.426899474304E+00      1.078323908094E+00
    1.900000      1.427371747144E+00      1.079079927245E+00
    2.000000      1.427525629759E+00      1.079360491078E+00
    2.100000      1.427560078621E+00      1.079168309750E+00
    2.200000      1.427636985609E+00      1.078577369051E+00
    2.300000      1.427867578711E+00      1.077718092409E+00
    2.400000      1.428319946276E+00      1.076757440505E+00
    2.500000      1.429029007664E+00      1.075873941880E+00
    2.600000      1.429998577213E+00      1.075229412479E+00
    2.700000      1.431197244933E+00      1.074941643754E+00
    2.800000      1.432556263371E+00      1.075063963396E+00
    2.900000      1.433976744233E+00      1.075577121620E+00
    3.000000      1.435348435609E+00      1.076396272296E+00
    3.100000      1.436575300651E+00      1.077391787097E+00
    3.200000      1.437598066824E+00      1.078418754818E+00
    3.300000      1.438404933093E+00      1.079347706266E+00
    3.400000      1.439027012489E+00      1.080089120269E+00
    3.500000      1.439520922728E+00      1.080606414254E+00
    3.600000      1.439946809429E+00      1.080915472584E+00
    3.700000      1.440351997188E+00      1.081072192555E+00
    3.800000      1.440765373390E+00      1.081152205992E+00
    3.900000      1.441199161966E+00      1.081228458837E+00
    4.000000      1.441651051054E+00      1.081352519510E+00
    4.100000      1.442105051941E+00      1.081544229850E+00
    4.200000      1.442534469993E+00      1.081791736797E+00
    4.300000      1.442905406523E+00      1.082060698518E+00
    4.400000      1.443179154676E+00      1.082308681453E+00
    4.500000      1.443316795481E+00      1.082499548604E+00
    4.600000      1.443287848706E+00      1.082613386141E+00
    4.700000      1.443082423741E+00      1.082649716784E+00
    4.800000      1.442721791470E+00      1.082624353990E+00
    4.900000      1.442259708537E+00      1.082562261665E+00
    5.000000      1.441769296491E+00      1.082489629737E+00
    5.100000      1.441316808141E+00      1.082427966122E+00
    5.200000      1.440936822121E+00      1.082391631870E+00
    5.300000      1.440625512616E+00      1.082388479774E+00
    5.400000      1.440356240927E+00      1.082421829713E+00
    5.500000      1.440106785565E+00      1.082491605144E+00
    5.600000      1.439876002125E+00      1.082593361872E+00
    5.700000      1.439677838676E+00      1.082715770981E+00
    5.800000      1.439520663208E+00      1.082838787599E+00
    5.900000      1.439395088257E+00      1.082934999710E+00
    6.000000      1.439287372411E+00      1.082975015581E+00
    6.100000      1.439206552026E+00      1.082935112653E+00
    6.200000      1.439196553255E+00      1.082803640262E+00
    6.300000      1.439317366322E+00      1.082583321573E+00
    6.400000      1.439604659751E+00      1.082289260464E+00
    6.500000      1.440038131126E+00      1.081944942226E+00
    6.600000      1.440546480166E+00      1.081578709985E+00
    6.700000      1.441046179273E+00      1.081221166334E+00
    6.800000      1.441483776464E+00      1.080901976570E+00
    6.900000      1.441852495716E+00      1.080644775439E+00
    7.000000      1.442175962527E+00      1.080461000645E+00
    7.100000      1.442477210019E+00      1.080345193615E+00
    7.200000      1.442761625009E+00      1.080274013263E+00
    7.300000      1.443022998133E+00      1.080209646192E+00
    7.400000      1.443254716908E+00      1.080107239721E+00
    7.500000      1.443448579080E+00      1.079925815957E+00
    7.600000      1.443588328129E+00      1.079641526137E+00
    7.700000      1.443647296747E+00      1.079260158309E+00
    7.800000      1.443593859716E+00      1.078823704389E+00
    7.900000      1.443407980448E+00      1.078405908763E+00
    8.000000      1.443102192469E+00      1.078095203398E+00
    8.100000      1.442733120969E+00      1.077968910122E+00
    8.200000      1.442393666166E+00      1.078067150739E+00
    8.300000      1.442185750267E+00      1.078376106223E+00
    8.400000      1.442182108034E+00      1.078827442997E+00
    8.500000      1.442394205806E+00      1.079315066966E+00
    8.600000      1.442767998824E+00      1.079724194029E+00
    8.700000      1.443216302336E+00      1.079963493762E+00
    8.800000      1.443667212618E+00      1.079990368503E+00
    8.900000      1.444092381445E+00      1.079822282256E+00
    9.000000      1.444495035862E+00      1.079531859396E+00
    9.100000      1.444872929413E+00      1.079228037993E+00
    9.200000      1.445196605419E+00      1.079028560714E+00
    9.300000      1.445421019074E+00      1.079030638341E+00
    9.400000      1.445508627563E+00      1.079287256838E+00
    9.500000      1.445441301173E+00      1.079795822885E+00
    9.600000      1.445218433252E+00      1.080502420812E+00
    9.700000      1.444854016686E+00      1.081319089867E+00
    9.800000      1.444386350913E+00      1.082146235238E+00
    9.900000      1.443888659531E+00      1.082891420968E+00
   10.000000      1.443453054986E+00      1.083480166610E+00
   10.100000      1.443146555653E+00      1.083860327701E+00
   10.200000      1.442970195013E+00      1.084004340326E+00
   10.300000      1.442852086261E+00      1.083911677164E+00
   10.400000      1.442681022862E+00      1.083610289353E+00
   10.500000      1.442360373927E+00      1.083154370991E+00
   10.600000      1.441848449094E+00      1.082617300654E+00
   10.700000      1.441162976330E+00      1.082080952986E+00
   10.800000      1.440362748243E+00      1.081623556455E+00
   10.900000      1.439534164085E+00      1.081307797420E+00
   11.000000      1.438782324784E+00      1.081170308545E+00
   11.100000      1.438210519373E+00      1.081213986432E+00
   11.200000      1.437889411649E+00      1.081405367009E+00
   11.300000      1.437830008186E+00      1.081679406457E+00
   11.400000      1.437974196128E+00      1.081952668681E+00
   11.500000      1.438210746679E+00      1.082143223523E+00
   11.600000      1.438413073863E+00      1.082192486021E+00
   11.700000      1.438481649218E+00      1.082082215629E+00
   11.800000      1.438371195563E+00      1.081840274486E+00
   11.900000      1.438095296327E+00      1.081531989239E+00
   12.000000      1.437714937491E+00      1.081239089290E+00
   12.100000      1.437321136797E+00      1.081032939604E+00
   12.200000      1.437018123754E+00      1.080950826399E+00
   12.300000      1.436905742410E+00      1.080982583039E+00
   12.400000      1.437057330514E+00      1.081071117981E+00
   12.500000      1.437494199397E+00      1.081126566865E+00
   12.600000      1.438165461737E+00      1.081050955859E+00
   12.700000      1.438950368322E+00      1.080767912648E+00
   12.800000      1.439693954235E+00      1.080249468421E+00
   12.900000      1.440257586798E+00      1.079530571126E+00
   13.000000      1.440557989760E+00      1.078704209084E+00
   13.100000      1.440584460163E+00      1.077897026208E+00
   13.200000      1.440395459982E+00      1.077234010641E+00
   13.300000      1.440097348186E+00      1.076805864545E+00
   13.400000      1.439809870391E+00      1.076650625513E+00
   13.500000      1.439628410477E+00      1.076753459868E+00
   13.600000      1.439596929100E+00      1.077060209335E+00
   13.700000      1.439702208554E+00      1.077495818898E+00
   13.800000      1.439890180484E+00      1.077979677536E+00
   13.900000      1.440093425309E+00      1.078434499192E+00
   14.000000      1.440255458721E+00      1.078790562751E+00
   14.100000      1.440345977569E+00      1.078990144103E+00
   14.200000      1.440366667202E+00      1.078996386717E+00
   14.300000      1.440344384161E+00      1.078806988706E+00
   14.400000      1.440317437125E+00      1.078467875024E+00
   14.500000      1.440331590598E+00      1.078078324613E+00
   14.600000      1.440438806997E+00      1.077779396004E+00
   14.700000      1.440685076367E+00      1.077722892414E+00
   14.800000      1.441093605790E+00      1.078026930102E+00
   14.900000      1.441656281663E+00      1.078732390764E+00
   15.000000      1.442334078505E+00      1.079777450781E+00
   15.100000      1.443057755410E+00      1.081002514994E+00
   15.200000      1.443731638145E+00      1.082186992898E+00
   15.300000      1.444249116946E+00      1.083107545666E+00
   15.400000      1.444520918821E+00      1.083599836832E+00
   15.500000      1.444505804258E+00      1.083604716074E+00
   15.600000      1.444225044262E+00      1.083184537247E+00
   15.700000      1.443746668513E+00      1.082504291600E+00
   15.800000      1.443149175258E+00      1.081783434951E+00
   15.900000      1.442498804904E+00      1.081234368750E+00
   16.000000      1.441856255388E+00      1.081007929583E+00
   16.100000      1.441283554306E+00      1.081162159169E+00
   16.200000      1.440832182241E+00      1.081660110965E+00
   16.300000      1.440518892270E+00      1.082391425022E+00
   16.400000      1.440308918159E+00      1.083206150834E+00
   16.500000      1.440131031846E+00      1.083949008775E+00
   16.600000      1.439922369476E+00      1.084485813178E+00
   16.700000      1.439663051299E+00      1.084718699954E+00
   16.800000      1.439366214351E+00      1.084591704677E+00
   16.900000      1.439040701827E+00      1.084091673006E+00
   17.000000      1.438673193561E+00      1.083249527242E+00
   17.100000      1.438246819009E+00      1.082143081077E+00
   17.200000      1.437771930933E+00      1.080897515998E+00
   17.300000      1.437301406651E+00      1.079677316781E+00
   17.400000      1.436917524424E+00      1.078665636840E+00
   17.500000      1.436698426073E+00      1.078031979855E+00
   17.600000      1.436687974434E+00      1.077893990076E+00
   17.700000      1.436880738532E+00      1.078282741420E+00
   17.800000      1.437218114561E+00      1.079122738868E+00
   17.900000      1.437597383218E+00      1.080236457190E+00
   18.000000      1.437901166383E+00      1.081376969003E+00
   18.100000      1.438039197540E+00      1.082282160972E+00
   18.200000      1.437980285425E+00      1.082735120352E+00
   18.300000      1.437759744682E+00      1.082612843690E+00
   18.400000      1.437461862849E+00      1.081910580313E+00
   18.500000      1.437189008110E+00      1.080737983610E+00
   18.600000      1.437029292143E+00      1.079290871963E+00
   18.700000      1.437030144971E+00      1.077806807138E+00
   18.800000      1.437188704806E+00      1.076514749792E+00
   18.900000      1.437465270634E+00      1.075589711187E+00
   19.000000      1.437805421513E+00      1.075122196347E+00
   19.100000      1.438152155750E+00      1.075108639068E+00
   19.200000      1.438447049879E+00      1.075463448027E+00
   19.300000      1.438634450448E+00      1.076047511932E+00
   19.400000      1.438679331441E+00      1.076704210859E+00
   19.500000      1.438583876576E+00      1.077293506494E+00
   19.600000      1.438381884735E+00      1.077717230494E+00
   19.700000      1.438115324378E+00      1.077932387536E+00
   19.800000      1.437823078067E+00      1.077952158337E+00
   19.900000      1.437550571665E+00      1.077835930855E+00
   20.000000      1.437357405730E+00      1.077671174420E+00
   20.100000      1.437306007305E+00      1.077551805711E+00
   20.200000      1.437435338766E+00      1.077558571884E+00
   20.300000      1.437744717249E+00      1.077745383557E+00
   20.400000      1.438205515841E+00      1.078132267012E+00
   20.500000      1.438777212304E+00      1.078703499046E+00
   20.600000      1.439405836310E+00      1.079410139852E+00
   20.700000      1.440015647279E+00      1.080177842833E+00
   20.800000      1.440517885811E+00      1.080920456851E+00
   20.900000      1.440842776766E+00      1.081557089294E+00
   21.000000      1.440971346150E+00      1.082027859945E+00
   21.100000      1.440938954938E+00      1.082304325881E+00
   21.200000      1.440806211299E+00      1.082393700788E+00
   21.300000      1.440622023877E+00      1.082338028945E+00
   21.400000      1.440408457896E+00      1.082208449484E+00
   21.500000      1.440171166643E+00      1.082092694270E+00
   21.600000      1.439920114068E+00      1.082074815204E+00
   21.700000      1.439681206516E+00      1.082210797985E+00
   21.800000      1.439487953996E+00      1.082508701799E+00
   21.900000      1.439363130299E+00      1.082922527802E+00
   22.000000      1.439304797281E+00      1.083363766673E+00
   22.100000      1.439281308795E+00      1.083726776932E+00
   22.200000      1.439239171014E+00      1.083918755943E+00
   22.300000      1.439120079793E+00      1.083884638021E+00
   22.400000      1.438878980093E+00      1.083620569151E+00
   22.500000      1.438499676031E+00      1.083173742514E+00
   22.600000      1.438006292958E+00      1.082629571827E+00
   22.700000      1.437466608645E+00      1.082089574443E+00
   22.800000      1.436983064334E+00      1.081645470786E+00
   22.900000      1.436668119111E+00      1.081356359292E+00
   23.000000      1.436605767558E+00      1.081235184179E+00
   23.100000      1.436813519413E+00      1.081247699965E+00
   23.200000      1.437228717913E+00      1.081322999864E+00
   23.300000      1.437734170339E+00      1.081371492067E+00
   23.400000      1.438207099051E+00      1.081305336625E+00
   23.500000      1.438557444628E+00      1.081057519862E+00
   23.600000      1.438737685620E+00      1.080597420156E+00
   23.700000      1.438732668709E+00      1.079941419263E+00
   23.800000      1.438548948787E+00      1.079156536269E+00
   23.900000      1.438215206401E+00      1.078354285397E+00
   24.000000      1.437790114507E+00      1.077672586648E+00
   24.100000      1.437363189901E+00      1.077246463813E+00
   24.200000      1.437037473750E+00      1.077172789757E+00
   24.300000      1.436896630634E+00      1.077478439418E+00
   24.400000      1.436974225684E+00      1.078102492426E+00
   24.500000      1.437246511027E+00      1.078900243746E+00
   24.600000      1.437648199028E+00      1.079670394492E+00
   24.700000      1.438091362272E+00      1.080199423862E+00
   24.800000      1.438479982764E+00      1.080311826488E+00
   24.900000      1.438730776552E+00      1.079913486094E+00
   25.000000      1.438795623118E+00      1.079017751528E+00
   25.100000      1.438672527903E+00      1.077748193253E+00
   25.200000      1.438405656293E+00      1.076317014673E+00
   25.300000      1.438076478174E+00      1.074983037953E+00
   25.400000      1.437781906082E+00      1.073997876037E+00
   25.500000      1.437601203929E+00      1.073552561089E+00
   25.600000      1.437567087218E+00      1.073737918269E+00
   25.700000      1.437658979777E+00      1.074528911006E+00
   25.800000      1.437822175784E+00      1.075796223864E+00
   25.900000      1.438001622725E+00      1.077339932198E+00
   26.000000      1.438172019396E+00      1.078933927940E+00
   26.100000      1.438348308866E+00      1.080368546623E+00
   26.200000      1.438570169100E+00      1.081482450924E+00
   26.300000      1.438868557536E+00      1.082180462740E+00
   26.400000      1.439233671923E+00      1.082438429291E+00
   26.500000      1.439601845336E+00      1.082297976025E+00
   26.600000      1.439869028653E+00      1.081854005527E+00
   26.700000      1.439927949149E+00      1.081237528066E+00
   26.800000      1.439711872065E+00      1.080596330175E+00
   26.900000      1.439225167302E+00      1.080075587781E+00
   27.000000      1.438551831370E+00      1.079799515243E+00
   27.100000      1.437841832431E+00      1.079854191826E+00
   27.200000      1.437274890401E+00      1.080271944511E+00
   27.300000      1.437004428859E+00      1.081019477066E+00
   27.400000      1.437096838964E+00      1.081994298781E+00
   27.500000      1.437491225417E+00      1.083034886951E+00
   27.600000      1.438005364724E+00      1.083947620928E+00
   27.700000      1.438395878018E+00      1.084547742303E+00
   27.800000      1.438446220520E+00      1.084704702502E+00
   27.900000      1.438041394031E+00      1.084378051905E+00
   28.000000      1.437203436070E+00      1.083631468830E+00
   28.100000      1.436081703066E+00      1.082619487237E+00
   28.200000      1.434906735320E+00      1.081550595346E+00
   28.300000      1.433927324883E+00      1.080637427198E+00
   28.400000      1.433343950392E+00      1.080047439513E+00
   28.500000      1.433249092297E+00      1.079866039836E+00
   28.600000      1.433599975206E+00      1.080080105512E+00
   28.700000      1.434240468523E+00      1.080584511278E+00
   28.800000      1.434960876014E+00      1.081208724041E+00
   28.900000      1.435565734020E+00      1.081756062544E+00
   29.000000      1.435922290090E+00      1.082046186859E+00
   29.100000      1.435978963790E+00      1.081952096201E+00
   29.200000      1.435759568344E+00      1.081425327623E+00
   29.300000      1.435346489515E+00      1.080505706119E+00
   29.400000      1.434861225804E+00      1.079314256507E+00
   29.500000      1.434440913063E+00      1.078030091956E+00
   29.600000      1.434210696262E+00      1.076854730176E+00
   29.700000      1.434254142898E+00      1.075970223753E+00
   29.800000      1.434586352352E+00      1.075499903196E+00
   29.900000      1.435141818887E+00      1.075481269791E+00
   30.000000      1.435789449458E+00      1.075858651083E+00
   30.100000      1.436373018460E+00      1.076498440552E+00
   30.200000      1.436760716539E+00      1.077223224197E+00
   30.300000      1.436886014013E+00      1.077855221719E+00
   30.400000      1.436767197837E+00      1.078256754140E+00
   30.500000      1.436498641800E+00      1.078357089969E+00
   30.600000      1.436213984257E+00      1.078160158050E+00
   30.700000      1.436035022275E+00      1.077733884674E+00
   30.800000      1.436033740166E+00      1.077186839137E+00
   30.900000      1.436220963854E+00      1.076640067592E+00
   31.000000      1.436554409197E+00      1.076201484456E+00
   31.100000      1.436958319846E+00      1.075947919657E+00
   31.200000      1.437350358306E+00      1.075917003641E+00
   31.300000      1.437670632215E+00      1.076108327401E+00
   31.400000      1.437905728872E+00      1.076491252306E+00
   31.500000      1.438098761375E+00      1.077015758099E+00
