# M=14, N=7, V0=0.0, V=0.25, PBC
#  time (tJ)                 S₁(n=3)                 S₂(n=3)
    0.000000      4.440892098501E-16      4.440892098501E-16
    0.100000      1.817504934076E-03      3.510003664711E-04
    0.200000      6.052234490008E-03      1.343727907780E-03
    0.300000      1.160783799312E-02      2.810616293759E-03
    0.400000      1.753491299046E-02      4.513152242800E-03
    0.500000      2.300762431644E-02      6.192069604999E-03
    0.600000      2.739693881333E-02      7.619005348022E-03
    0.700000      3.032763947081E-02      8.637555183244E-03
    0.800000      3.169880002017E-02      9.185149937994E-03
    0.900000      3.166460142462E-02      9.292605564938E-03
    1.000000      3.058113868903E-02      9.063928121795E-03
    1.100000      2.893059777793E-02      8.643420935168E-03
    1.200000      2.722668378694E-02      8.179305316069E-03
    1.300000      2.590770571511E-02      7.792632609061E-03
    1.400000      2.522967598637E-02      7.557676166824E-03
    1.500000      2.516564196914E-02      7.496223110318E-03
    1.600000      2.556054696472E-02      7.584413628160E-03
    1.700000      2.622984189898E-02      7.768013527962E-03
    1.800000      2.700638717341E-02      7.980822547782E-03
    1.900000      2.772047754098E-02      8.161326868334E-03
    2.000000      2.818987846429E-02      8.264237735363E-03
    2.100000      2.831379628844E-02      8.265528851736E-03
    2.200000      2.807154604535E-02      8.161363173425E-03
    2.300000      2.749711205989E-02      7.962519033589E-03
    2.400000      2.665410858152E-02      7.686521961618E-03
    2.500000      2.562277204574E-02      7.349785097805E-03
    2.600000      2.448644440614E-02      6.961801131763E-03
    2.700000      2.328884367308E-02      6.522878122598E-03
    2.800000      2.196847290321E-02      6.026086499836E-03
    2.900000      2.041304259509E-02      5.463055844579E-03
    3.000000      1.854483866750E-02      4.832222046526E-03
    3.100000      1.636242503845E-02      4.147352536545E-03
    3.200000      1.396726714413E-02      3.443897832204E-03
    3.300000      1.157992129133E-02      2.781009363962E-03
    3.400000      9.538756275692E-03      2.237848358747E-03
    3.500000      8.261980187950E-03      1.903929161245E-03
    3.600000      8.124975366764E-03      1.864521409655E-03
    3.700000      9.259057624533E-03      2.183398535734E-03
    3.800000      1.163001338138E-02      2.886234306990E-03
    3.900000      1.508063531244E-02      3.948423704807E-03
    4.000000      1.932013240162E-02      5.290764796587E-03
    4.100000      2.392504066966E-02      6.785168387002E-03
    4.200000      2.839616004679E-02      8.270527535768E-03
    4.300000      3.224476031165E-02      9.576538827919E-03
    4.400000      3.506257395173E-02      1.055124500111E-02
    4.500000      3.657056709198E-02      1.108693488691E-02
    4.600000      3.664978277045E-02      1.113911477766E-02
    4.700000      3.535940849849E-02      1.073454642877E-02
    4.800000      3.293560124966E-02      9.966527950157E-03
    4.900000      2.976765546527E-02      8.978184163720E-03
    5.000000      2.635562677590E-02      7.936970147646E-03
    5.100000      2.325442089325E-02      7.005347223644E-03
    5.200000      2.100220067111E-02      6.313275309815E-03
    5.300000      1.999031375191E-02      5.937630168375E-03
    5.400000      2.026691946747E-02      5.892049760569E-03
