# M=26, N=13, V0=0.0, Vp0=0.0, V=0.25, Vp=0.025, PBC
#  time (tJ)                 S₁(n=1)                 S₂(n=1)
    0.000000      1.332267629550E-15     -1.776356839400E-15
    0.100000      8.865472117221E-04      1.735958071105E-04
    0.200000      2.946851117093E-03      6.647670426969E-04
    0.300000      5.646557451584E-03      1.391157801941E-03
    0.400000      8.527169495977E-03      2.235486668235E-03
    0.500000      1.119227639513E-02      3.070171075150E-03
    0.600000      1.334138645757E-02      3.782689892685E-03
    0.700000      1.479596640317E-02      4.295741191741E-03
    0.800000      1.550798004053E-02      4.577953477328E-03
    0.900000      1.554952983919E-02      4.643605941062E-03
    1.000000      1.508628505907E-02      4.542676353591E-03
    1.100000      1.433996899881E-02      4.344754647397E-03
    1.200000      1.354613595670E-02      4.121393622233E-03
    1.300000      1.290835196626E-02      3.931179206276E-03
    1.400000      1.254618426109E-02      3.810455400191E-03
    1.500000      1.247613256606E-02      3.770763545153E-03
    1.600000      1.264028180756E-02      3.802246482207E-03
    1.700000      1.294277809778E-02      3.880994994799E-03
    1.800000      1.328125095440E-02      3.977805722272E-03
    1.900000      1.357025891918E-02      4.066047311528E-03
    2.000000      1.375476708073E-02      4.127071495768E-03
    2.100000      1.381419083146E-02      4.152547826683E-03
    2.200000      1.375888620777E-02      4.143956331505E-03
    2.300000      1.362167179994E-02      4.110050692806E-03
    2.400000      1.344699254334E-02      4.063340736370E-03
    2.500000      1.327967844249E-02      4.016580158125E-03
    2.600000      1.315482514936E-02      3.979988741226E-03
    2.700000      1.309123210986E-02      3.959604686414E-03
    2.800000      1.309053619413E-02      3.956844649422E-03
    2.900000      1.314070111712E-02      3.969101029389E-03
    3.000000      1.322129853787E-02      3.991048670056E-03
    3.100000      1.330953700748E-02      4.016266044894E-03
    3.200000      1.338580026570E-02      4.038788893876E-03
    3.300000      1.343721970740E-02      4.054291981877E-03
    3.400000      1.345882210560E-02      4.060717143151E-03
    3.500000      1.345273102878E-02      4.058307417233E-03
    3.600000      1.342622434673E-02      4.049138638136E-03
    3.700000      1.338930423690E-02      4.036334234041E-03
    3.800000      1.335218857656E-02      4.023188565111E-03
    3.900000      1.332310702150E-02      4.012405856317E-03
    4.000000      1.330683642148E-02      4.005597807365E-03
    4.100000      1.330436089545E-02      4.003095962231E-03
    4.200000      1.331367961457E-02      4.004050372384E-03
    4.300000      1.333097453982E-02      4.006724552835E-03
    4.400000      1.335114057131E-02      4.008868946765E-03
    4.500000      1.336761416393E-02      4.008061074632E-03
    4.600000      1.337239113948E-02      4.001931995341E-03
    4.700000      1.335681734576E-02      3.988243374713E-03
    4.800000      1.331268039293E-02      3.964825135172E-03
    4.900000      1.323288026283E-02      3.929420965526E-03
    5.000000      1.311139543647E-02      3.879512410109E-03
    5.100000      1.294250628291E-02      3.812199990652E-03
    5.200000      1.271928946218E-02      3.724212728344E-03
    5.300000      1.243191072398E-02      3.612098119954E-03
    5.400000      1.206724840171E-02      3.472616587058E-03
    5.500000      1.161124358025E-02      3.303331548339E-03
    5.600000      1.105344975279E-02      3.103352389921E-03
    5.700000      1.039186264651E-02      2.874155996335E-03
    5.800000      9.636392301557E-03      2.620385411796E-03
    5.900000      8.810242597148E-03      2.350502888270E-03
    6.000000      7.950029904926E-03      2.077160216317E-03
    6.100000      7.106947504031E-03      1.817144595681E-03
    6.200000      6.348998073324E-03      1.590769215965E-03
    6.300000      5.760067691993E-03      1.420612818829E-03
    6.400000      5.430864900879E-03      1.329580252939E-03
    6.500000      5.440887205620E-03      1.338359474053E-03
    6.600000      5.838306194041E-03      1.462482031604E-03
    6.700000      6.628410377313E-03      1.709333224615E-03
    6.800000      7.776876517726E-03      2.075573394599E-03
    6.900000      9.215899814605E-03      2.545487720621E-03
    7.000000      1.084472648571E-02      3.090747892864E-03
    7.100000      1.253904440173E-02      3.671928687521E-03
    7.200000      1.416664827780E-02      4.241880023021E-03
    7.300000      1.559799997911E-02      4.750738796120E-03
    7.400000      1.671479345950E-02      5.152025780331E-03
    7.500000      1.742223581230E-02      5.408978834415E-03
    7.600000      1.766270965697E-02      5.500097203168E-03
    7.700000      1.742546897155E-02      5.422873874406E-03
    7.800000      1.675068029805E-02      5.194905157131E-03
    7.900000      1.572802194455E-02      4.851975277369E-03
    8.000000      1.448984575939E-02      4.443253835811E-03
    8.100000      1.319864628574E-02      4.024306437350E-03
    8.200000      1.202852636123E-02      3.649073859252E-03
    8.300000      1.113944255190E-02      3.362206870161E-03
    8.400000      1.064323999636E-02      3.193086106105E-03
    8.500000      1.057401460314E-02      3.152516185531E-03
    8.600000      1.088860331982E-02      3.232541092125E-03
    8.700000      1.149191213657E-02      3.409214783979E-03
    8.800000      1.226262536017E-02      3.647620243187E-03
    8.900000      1.307420441105E-02      3.908078033102E-03
    9.000000      1.381257456636E-02      4.152383146139E-03
    9.100000      1.438928314302E-02      4.349052077262E-03
    9.200000      1.474897671844E-02      4.476887553789E-03
    9.300000      1.487134635708E-02      4.526575931053E-03
    9.400000      1.476858766524E-02      4.500414863639E-03
    9.500000      1.447972928033E-02      4.410543680458E-03
    9.600000      1.406304399579E-02      4.276179263515E-03
    9.700000      1.358745547896E-02      4.120360308183E-03
    9.800000      1.312366723497E-02      3.966623432277E-03
    9.900000      1.273564034298E-02      3.835936613764E-03
   10.000000      1.247278866950E-02      3.744142719749E-03
   10.100000      1.236308483082E-02      3.700128894665E-03
   10.200000      1.240833133808E-02      3.704914035836E-03
   10.300000      1.258423708621E-02      3.751797822531E-03
   10.400000      1.284605952251E-02      3.827609612716E-03
   10.500000      1.313761544834E-02      3.914930600377E-03
   10.600000      1.340120521392E-02      3.994969433299E-03
   10.700000      1.358671708632E-02      4.050606850222E-03
   10.800000      1.365863117386E-02      4.069049021334E-03
   10.900000      1.360002102324E-02      4.043581134336E-03
   11.000000      1.341306129645E-02      3.974093103265E-03
   11.100000      1.311606957726E-02      3.866317825759E-03
   11.200000      1.273779524736E-02      3.730009931596E-03
   11.300000      1.231043042542E-02      3.576523258608E-03
   11.400000      1.186318219769E-02      3.416359232468E-03
   11.500000      1.141765553241E-02      3.257231422253E-03
   11.600000      1.098523025914E-02      3.103039188777E-03
   11.700000      1.056630227878E-02      2.953912642762E-03
   11.800000      1.015191200992E-02      2.807243502927E-03
   11.900000      9.728407219695E-03      2.659408598391E-03
   12.000000      9.284294977903E-03      2.507763294246E-03
   12.100000      8.817091543430E-03      2.352447108109E-03
   12.200000      8.338223006563E-03      2.197599725658E-03
   12.300000      7.874859521015E-03      2.051715227303E-03
