# M=12, N=6, V0=0.0, V=0.25, PBC
#  time (tJ)                 S₁(ℓ=6)                 S₂(ℓ=6)
    0.000000      1.175475821530E+00      8.854158610909E-01
    0.100000      1.176514813864E+00      8.860785573335E-01
    0.200000      1.179306669576E+00      8.878799685407E-01
    0.300000      1.183017485258E+00      8.903147021044E-01
    0.400000      1.186585605732E+00      8.927040793048E-01
    0.500000      1.189065528284E+00      8.943843533196E-01
    0.600000      1.189916894082E+00      8.948790137048E-01
    0.700000      1.189144886067E+00      8.940071826000E-01
    0.800000      1.187257955609E+00      8.919058046859E-01
    0.900000      1.185061054612E+00      8.889725870415E-01
    1.000000      1.183342656882E+00      8.857584216098E-01
    1.100000      1.182592929338E+00      8.828456615924E-01
    1.200000      1.182954016664E+00      8.807416077631E-01
    1.300000      1.184303009478E+00      8.798007399099E-01
    1.400000      1.186315202921E+00      8.801750438359E-01
    1.500000      1.188539061443E+00      8.817886925432E-01
    1.600000      1.190515260076E+00      8.843417133076E-01
    1.700000      1.191875980970E+00      8.873554055240E-01
    1.800000      1.192451114187E+00      8.902657195515E-01
    1.900000      1.192315342500E+00      8.925484560941E-01
    2.000000      1.191698937524E+00      8.938391550640E-01
    2.100000      1.190819797571E+00      8.940102442265E-01
    2.200000      1.189797900824E+00      8.931885128109E-01
    2.300000      1.188759359642E+00      8.917180275973E-01
    2.400000      1.187938571848E+00      8.900815642338E-01
    2.500000      1.187646826179E+00      8.887921340043E-01
    2.600000      1.188051214369E+00      8.882698582783E-01
    2.700000      1.189055137626E+00      8.887313571294E-01
    2.800000      1.190375544626E+00      8.901262249814E-01
    2.900000      1.191709307279E+00      8.921453388297E-01
    3.000000      1.192817511934E+00      8.943007172387E-01
    3.100000      1.193578930755E+00      8.960512315999E-01
    3.200000      1.193901531067E+00      8.969366264398E-01
    3.300000      1.193641070455E+00      8.966865090424E-01
    3.400000      1.192770966035E+00      8.952830523157E-01
    3.500000      1.191532762323E+00      8.929668892832E-01
    3.600000      1.190399883136E+00      8.901833507961E-01
    3.700000      1.189901280790E+00      8.874760143081E-01
    3.800000      1.190261333184E+00      8.853498879489E-01
    3.900000      1.191222918980E+00      8.841420205533E-01
    4.000000      1.192346670333E+00      8.839415857570E-01
    4.100000      1.193288903316E+00      8.845874104967E-01
    4.200000      1.193884745252E+00      8.857425220774E-01
    4.300000      1.194085068535E+00      8.870156984056E-01
    4.400000      1.193823244730E+00      8.880834429897E-01
    4.500000      1.193060223270E+00      8.887697784499E-01
    4.600000      1.191931566533E+00      8.890629512906E-01
    4.700000      1.190740897038E+00      8.890762296853E-01
    4.800000      1.189798817874E+00      8.889806645802E-01
    4.900000      1.189209522840E+00      8.889419806179E-01
    5.000000      1.188878468360E+00      8.890820794272E-01
    5.100000      1.188679723779E+00      8.894670477990E-01
    5.200000      1.188580728291E+00      8.901098474247E-01
    5.300000      1.188641569498E+00      8.909740379327E-01
    5.400000      1.188918633708E+00      8.919733537716E-01
    5.500000      1.189300378584E+00      8.929727269885E-01
    5.600000      1.189561352654E+00      8.938011759284E-01
    5.700000      1.189509335969E+00      8.942827512123E-01
    5.800000      1.189046527221E+00      8.942815983775E-01
    5.900000      1.188191060415E+00      8.937474661502E-01
    6.000000      1.187093861535E+00      8.927438543600E-01
    6.100000      1.186051492085E+00      8.914443820044E-01
    6.200000      1.185424594635E+00      8.900929095403E-01
    6.300000      1.185513053246E+00      8.889364927184E-01
    6.400000      1.186435868420E+00      8.881524977335E-01
    6.500000      1.188036050016E+00      8.877962280022E-01
    6.600000      1.189888384583E+00      8.877892172511E-01
    6.700000      1.191430739956E+00      8.879524354841E-01
    6.800000      1.192215894806E+00      8.880705916928E-01
    6.900000      1.192050707009E+00      8.879630644096E-01
    7.000000      1.191028237151E+00      8.875386715008E-01
    7.100000      1.189515453639E+00      8.868218251571E-01
    7.200000      1.188013506710E+00      8.859479373962E-01
    7.300000      1.186979198710E+00      8.851313555468E-01
    7.400000      1.186725163279E+00      8.846123373259E-01
    7.500000      1.187338866888E+00      8.845946445573E-01
    7.600000      1.188610886113E+00      8.851901065889E-01
    7.700000      1.190094346966E+00      8.863853692725E-01
    7.800000      1.191273249446E+00      8.880387149194E-01
    7.900000      1.191750239623E+00      8.899072657266E-01
    8.000000      1.191353249465E+00      8.917003642472E-01
    8.100000      1.190148156453E+00      8.931495119024E-01
    8.200000      1.188461557633E+00      8.940759206454E-01
    8.300000      1.186797243861E+00      8.944304156726E-01
    8.400000      1.185615423878E+00      8.942881380311E-01
    8.500000      1.185218981075E+00      8.938020730295E-01
    8.600000      1.185657545420E+00      8.931399518933E-01
    8.700000      1.186679624912E+00      8.924334792416E-01
