# M=22, N=11, V0=0.0, V=0.25, PBC
#  time (tJ)                S₁(ℓ=11)                S₂(ℓ=11)
    0.000000      1.375632336657E+00      1.080989943769E+00
    0.100000      1.375792122508E+00      1.080898400271E+00
    0.200000      1.376221309302E+00      1.080644411159E+00
    0.300000      1.376808434456E+00      1.080286010557E+00
    0.400000      1.377453017519E+00      1.079907396040E+00
    0.500000      1.378108087674E+00      1.079601946152E+00
    0.600000      1.378776932521E+00      1.079452627217E+00
    0.700000      1.379483033697E+00      1.079514284251E+00
    0.800000      1.380241763513E+00      1.079802469304E+00
    0.900000      1.381050982561E+00      1.080291879512E+00
    1.000000      1.381897126809E+00      1.080924585371E+00
    1.100000      1.382769347282E+00      1.081625236818E+00
    1.200000      1.383670752331E+00      1.082318599152E+00
    1.300000      1.384612793070E+00      1.082944698289E+00
    1.400000      1.385600104918E+00      1.083468282109E+00
    1.500000      1.386622796988E+00      1.083881408740E+00
    1.600000      1.387660455240E+00      1.084199894785E+00
    1.700000      1.388689878078E+00      1.084455581231E+00
    1.800000      1.389689926457E+00      1.084686805561E+00
    1.900000      1.390641907990E+00      1.084929279891E+00
    2.000000      1.391527608657E+00      1.085209019203E+00
    2.100000      1.392329315193E+00      1.085538256077E+00
    2.200000      1.393033250297E+00      1.085914570285E+00
    2.300000      1.393634859479E+00      1.086322855155E+00
    2.400000      1.394144784951E+00      1.086739300673E+00
    2.500000      1.394593835543E+00      1.087136323387E+00
    2.600000      1.395033820004E+00      1.087487318517E+00
    2.700000      1.395529880731E+00      1.087770251178E+00
    2.800000      1.396140667899E+00      1.087969452026E+00
    2.900000      1.396888603176E+00      1.088075529472E+00
    3.000000      1.397734174889E+00      1.088083960647E+00
    3.100000      1.398573668614E+00      1.087993445423E+00
    3.200000      1.399265323987E+00      1.087805191179E+00
    3.300000      1.399672789726E+00      1.087523743905E+00
    3.400000      1.399709129490E+00      1.087158943511E+00
    3.500000      1.399364643716E+00      1.086727612619E+00
    3.600000      1.398707862206E+00      1.086253377262E+00
    3.700000      1.397860952103E+00      1.085763880177E+00
    3.800000      1.396960608923E+00      1.085286160723E+00
    3.900000      1.396114683863E+00      1.084842146768E+00
    4.000000      1.395360836761E+00      1.084446164215E+00
    4.100000      1.394664088986E+00      1.084105092187E+00
    4.200000      1.393971019365E+00      1.083820191875E+00
    4.300000      1.393248656106E+00      1.083588889758E+00
    4.400000      1.392488834170E+00      1.083405396859E+00
    4.500000      1.391700676638E+00      1.083260419908E+00
    4.600000      1.390900556292E+00      1.083141223195E+00
    4.700000      1.390103789461E+00      1.083033164897E+00
    4.800000      1.389321097854E+00      1.082922742074E+00
    4.900000      1.388559107796E+00      1.082801022729E+00
    5.000000      1.387826121633E+00      1.082665949608E+00
    5.100000      1.387138979923E+00      1.082522538631E+00
    5.200000      1.386522323867E+00      1.082380980622E+00
    5.300000      1.386002068029E+00      1.082253433471E+00
    5.400000      1.385598245428E+00      1.082150527441E+00
    5.500000      1.385320644422E+00      1.082078414261E+00
    5.600000      1.385167986533E+00      1.082036903214E+00
    5.700000      1.385128180272E+00      1.082019062226E+00
    5.800000      1.385177494949E+00      1.082012567947E+00
    5.900000      1.385281626366E+00      1.082002854924E+00
    6.000000      1.385403639414E+00      1.081977616680E+00
    6.100000      1.385517484674E+00      1.081931587428E+00
    6.200000      1.385619331839E+00      1.081870129716E+00
    6.300000      1.385729699404E+00      1.081810289543E+00
    6.400000      1.385883677331E+00      1.081778699001E+00
    6.500000      1.386112046500E+00      1.081806715759E+00
    6.600000      1.386423987881E+00      1.081924040450E+00
    6.700000      1.386802625106E+00      1.082152413433E+00
    6.800000      1.387214210715E+00      1.082500804460E+00
    6.900000      1.387622529517E+00      1.082962958017E+00
    7.000000      1.388000025616E+00      1.083517515898E+00
    7.100000      1.388333352427E+00      1.084130422204E+00
    7.200000      1.388625288019E+00      1.084759023401E+00
    7.300000      1.388893658525E+00      1.085357200306E+00
    7.400000      1.389167009669E+00      1.085880932084E+00
    7.500000      1.389478134029E+00      1.086293786282E+00
    7.600000      1.389856463825E+00      1.086571857916E+00
    7.700000      1.390320165909E+00      1.086707605855E+00
    7.800000      1.390871550540E+00      1.086711902252E+00
    7.900000      1.391500017359E+00      1.086613544283E+00
    8.000000      1.392190437376E+00      1.086455632605E+00
    8.100000      1.392930061889E+00      1.086288710497E+00
    8.200000      1.393708942798E+00      1.086161370900E+00
    8.300000      1.394511684787E+00      1.086109984258E+00
    8.400000      1.395304108156E+00      1.086149919383E+00
    8.500000      1.396025854983E+00      1.086270724302E+00
    8.600000      1.396599918886E+00      1.086436989208E+00
    8.700000      1.396958170636E+00      1.086595182654E+00
    8.800000      1.397068314325E+00      1.086685133542E+00
    8.900000      1.396945368710E+00      1.086653600690E+00
    9.000000      1.396641046580E+00      1.086466862800E+00
    9.100000      1.396219618971E+00      1.086119466016E+00
    9.200000      1.395737757748E+00      1.085637013312E+00
    9.300000      1.395238918568E+00      1.085072057420E+00
    9.400000      1.394756636022E+00      1.084493701061E+00
    9.500000      1.394315129270E+00      1.083973175556E+00
    9.600000      1.393922688938E+00      1.083568935255E+00
    9.700000      1.393564927888E+00      1.083315080107E+00
    9.800000      1.393209285815E+00      1.083215956854E+00
