# M=26, N=13, V0=0.0, Vp0=0.0, V=0.25, Vp=0.025, PBC
#  time (tJ)                S₁(ℓ=13)                S₂(ℓ=13)
    0.000000      1.431091061804E+00      1.120032294311E+00
    0.100000      1.431250831654E+00      1.119935571655E+00
    0.200000      1.431680530164E+00      1.119666599982E+00
    0.300000      1.432269904343E+00      1.119284988905E+00
    0.400000      1.432919526281E+00      1.118877284384E+00
    0.500000      1.433582919277E+00      1.118539634681E+00
    0.600000      1.434263403659E+00      1.118357814822E+00
    0.700000      1.434984427059E+00      1.118389176167E+00
    0.800000      1.435761413585E+00      1.118651226839E+00
    0.900000      1.436592785194E+00      1.119119938463E+00
    1.000000      1.437467302913E+00      1.119737953726E+00
    1.100000      1.438374406152E+00      1.120429856222E+00
    1.200000      1.439312772611E+00      1.121119821407E+00
    1.300000      1.440290357122E+00      1.121746899468E+00
    1.400000      1.441314844827E+00      1.122274619084E+00
    1.500000      1.442385152497E+00      1.122693717245E+00
    1.600000      1.443490633937E+00      1.123018732244E+00
    1.700000      1.444615848527E+00      1.123280427695E+00
    1.800000      1.445745757312E+00      1.123516447240E+00
    1.900000      1.446868253900E+00      1.123762405125E+00
    2.000000      1.447973805404E+00      1.124045047560E+00
    2.100000      1.449053526814E+00      1.124378389000E+00
    2.200000      1.450097491091E+00      1.124762993229E+00
    2.300000      1.451094516655E+00      1.125187947556E+00
    2.400000      1.452033175688E+00      1.125634654068E+00
    2.500000      1.452903059354E+00      1.126081380157E+00
    2.600000      1.453696135117E+00      1.126507565634E+00
    2.700000      1.454408702937E+00      1.126897119134E+00
    2.800000      1.455044356157E+00      1.127240263588E+00
    2.900000      1.455617690697E+00      1.127533817428E+00
    3.000000      1.456157329556E+00      1.127780060438E+00
    3.100000      1.456705440632E+00      1.127984510919E+00
    3.200000      1.457310167100E+00      1.128153058206E+00
    3.300000      1.458009036506E+00      1.128288994649E+00
    3.400000      1.458807278504E+00      1.128390594358E+00
    3.500000      1.459662108206E+00      1.128449949062E+00
    3.600000      1.460483624312E+00      1.128453681269E+00
    3.700000      1.461154331711E+00      1.128385785236E+00
