# M=10, N=5, V0=0.0, V=0.15, PBC
#  time (tJ)                 S₁(n=2)                 S₂(n=2)
    0.000000     -4.440892098501E-16      0.000000000000E+00
    0.100000      6.956046852471E-04      1.251971012959E-04
    0.200000      2.331862529879E-03      4.775030659459E-04
    0.300000      4.477958143480E-03      9.925152759385E-04
    0.400000      6.745339608378E-03      1.579596178339E-03
    0.500000      8.793224740358E-03      2.142201728379E-03
    0.600000      1.036659888418E-02      2.598366530418E-03
    0.700000      1.132384079796E-02      2.896293411045E-03
    0.800000      1.164527638764E-02      3.021620786976E-03
    0.900000      1.142162585409E-02      2.995380782734E-03
    1.000000      1.082624521658E-02      2.864138852451E-03
    1.100000      1.007649462783E-02      2.685611001971E-03
    1.200000      9.379479441233E-03      2.513759975501E-03
    1.300000      8.897746530077E-03      2.386932544722E-03
    1.400000      8.737409621564E-03      2.321316163715E-03
    1.500000      8.875786361473E-03      2.310361430218E-03
    1.600000      9.128543710512E-03      2.329341697938E-03
    1.700000      9.323596739828E-03      2.343258077328E-03
    1.800000      9.318773258806E-03      2.315974777206E-03
    1.900000      9.015523968252E-03      2.218697028681E-03
    2.000000      8.370984734611E-03      2.036452258579E-03
    2.100000      7.402678830724E-03      1.771843518351E-03
    2.200000      6.185117147781E-03      1.445822595343E-03
    2.300000      4.842440628308E-03      1.095523562212E-03
    2.400000      3.553987275997E-03      7.693826409212E-04
    2.500000      2.545371511844E-03      5.199854866089E-04
    2.600000      2.018598169590E-03      3.954227880922E-04
    2.700000      2.125375847712E-03      4.303691402048E-04
    2.800000      2.953635380353E-03      6.384680380522E-04
    2.900000      4.409205131105E-03      1.007694557114E-03
    3.000000      6.256168934945E-03      1.500027219938E-03
    3.100000      8.247572102650E-03      2.055992479669E-03
    3.200000      1.014021157378E-02      2.603612514619E-03
    3.300000      1.171162224255E-02      3.070255453550E-03
    3.400000      1.278249974811E-02      3.395132695488E-03
    3.500000      1.324474026409E-02      3.539915853762E-03
    3.600000      1.307245559244E-02      3.495242407091E-03
    3.700000      1.232317956339E-02      3.281695781323E-03
    3.800000      1.113125992378E-02      2.945008777794E-03
    3.900000      9.692289202480E-03      2.546486497856E-03
    4.000000      8.239321243123E-03      2.150685564801E-03
    4.100000      7.020607521855E-03      1.812974838703E-03
    4.200000      6.261731519850E-03      1.569600866416E-03
    4.300000      5.947626112913E-03      1.432291685711E-03
    4.400000      5.941953332163E-03      1.388396434741E-03
    4.500000      6.096587297878E-03      1.406320788770E-03
    4.600000      6.264294956415E-03      1.444869068520E-03
    4.700000      6.323353664152E-03      1.464302090314E-03
    4.800000      6.200446294436E-03      1.436626551093E-03
    4.900000      5.886685969895E-03      1.352876023504E-03
    5.000000      5.427905222219E-03      1.225835327745E-03
    5.100000      4.908473889634E-03      1.087635080465E-03
    5.200000      4.464218171141E-03      9.827103022206E-04
    5.300000      4.265087626359E-03      9.575850074821E-04
    5.400000      4.478412550656E-03      1.049636326970E-03
    5.500000      5.238652390639E-03      1.277262028805E-03
    5.600000      6.549396234615E-03      1.633644546509E-03
    5.700000      8.198842009357E-03      2.085592385562E-03
    5.800000      9.941786871325E-03      2.577879198415E-03
    5.900000      1.153845238027E-02      3.042319147588E-03
    6.000000      1.277293500916E-02      3.409784664335E-03
    6.100000      1.347718660431E-02      3.622733468614E-03
    6.200000      1.355294278339E-02      3.645716545497E-03
    6.300000      1.298433326341E-02      3.471801593045E-03
    6.400000      1.183742265457E-02      3.123741084600E-03
    6.500000      1.024480173281E-02      2.649814200938E-03
    6.600000      8.396176772433E-03      2.115319007243E-03
    6.700000      6.519175925103E-03      1.591464652014E-03
    6.800000      4.859074105834E-03      1.143779064170E-03
    6.900000      3.661775374055E-03      8.220769944622E-04
    7.000000      3.067110718984E-03      6.535944468005E-04
    7.100000      3.058052314623E-03      6.402253873010E-04
    7.200000      3.547989854452E-03      7.600590306511E-04
    7.300000      4.385212717571E-03      9.727538461526E-04
    7.400000      5.393812030212E-03      1.227778527847E-03
    7.500000      6.371634051997E-03      1.474206452871E-03
    7.600000      7.145972337834E-03      1.670529339251E-03
    7.700000      7.615949963744E-03      1.792835251722E-03
    7.800000      7.762457575948E-03      1.839723866336E-03
    7.900000      7.648688547933E-03      1.832626635594E-03
    8.000000      7.408895107161E-03      1.810879249206E-03
    8.100000      7.226189437162E-03      1.821967501573E-03
    8.200000      7.307760857167E-03      1.908656632597E-03
    8.300000      7.863161560405E-03      2.095861107696E-03
    8.400000      8.903850137465E-03      2.380688557484E-03
    8.500000      1.022617106828E-02      2.728765104265E-03
    8.600000      1.156197603298E-02      3.078636792418E-03
    8.700000      1.262359435750E-02      3.353990963321E-03
    8.800000      1.315699201378E-02      3.481195761561E-03
    8.900000      1.298637133018E-02      3.407903956393E-03
    9.000000      1.204867594106E-02      3.117815235175E-03
    9.100000      1.041059034024E-02      2.637438717348E-03
    9.200000      8.264015541474E-03      2.032705461012E-03
    9.300000      5.900599711242E-03      1.395992273230E-03
    9.400000      3.671027387821E-03      8.267318338051E-04
    9.500000      1.943859420574E-03      4.105157473901E-04
    9.600000      1.053207507205E-03      2.019335563497E-04
    9.700000      1.168505202165E-03      2.152504939681E-04
    9.800000      2.147909846276E-03      4.247793081555E-04
    9.900000      3.653446568074E-03      7.741447258645E-04
   10.000000      5.329582201377E-03      1.191374493374E-03
   10.100000      6.894507416867E-03      1.605525071612E-03
   10.200000      8.160633544986E-03      1.960647153888E-03
   10.300000      9.038296526848E-03      2.224156775842E-03
   10.400000      9.527517708143E-03      2.388579764451E-03
   10.500000      9.699627482067E-03      2.467508757981E-03
   10.600000      9.668875806066E-03      2.487887017728E-03
   10.700000      9.543662391116E-03      2.481141454553E-03
   10.800000      9.419455385562E-03      2.475304840415E-03
