# M=12, N=6, max=1, V0=0.0, V=-0.15, PBC
#  time (tJ)                 S₁(n=1)                 S₂(n=1)
    0.000000     -4.440892098501E-16      1.554312234475E-15
    0.100000      4.532316909440E-04      8.246531013190E-05
    0.200000      1.517466691185E-03      3.145711381147E-04
    0.300000      2.912804158587E-03      6.541053198796E-04
    0.400000      4.389495659088E-03      1.041887004086E-03
    0.500000      5.730888479932E-03      1.415271417986E-03
    0.600000      6.777222043868E-03      1.721588068239E-03
    0.700000      7.442148805932E-03      1.928110691698E-03
    0.800000      7.716515914121E-03      2.026344755717E-03
    0.900000      7.659053663912E-03      2.030152505931E-03
    1.000000      7.376643885006E-03      1.968945914704E-03
    1.100000      6.998837601107E-03      1.878348372152E-03
    1.200000      6.651205017065E-03      1.791062732480E-03
    1.300000      6.424334727269E-03      1.730191360704E-03
    1.400000      6.347704111190E-03      1.706201821878E-03
    1.500000      6.404255067864E-03      1.717528274191E-03
    1.600000      6.551593266656E-03      1.753834032514E-03
    1.700000      6.736087437030E-03      1.800479073940E-03
    1.800000      6.906083168109E-03      1.842778388987E-03
    1.900000      7.021371604664E-03      1.869066471345E-03
    2.000000      7.056987796280E-03      1.872170014621E-03
    2.100000      7.002397200096E-03      1.849413300901E-03
    2.200000      6.858347430901E-03      1.801602532153E-03
    2.300000      6.633286745545E-03      1.731533046248E-03
    2.400000      6.340301586764E-03      1.642501649255E-03
    2.500000      5.994250614130E-03      1.537180971693E-03
    2.600000      5.606153185440E-03      1.417093259072E-03
    2.700000      5.174554231403E-03      1.282820798149E-03
    2.800000      4.688566640182E-03      1.134976498665E-03
    2.900000      4.142072525162E-03      9.757914629160E-04
    3.000000      3.545370154734E-03      8.109547349631E-04
    3.100000      2.933770940684E-03      6.511220708638E-04
    3.200000      2.373241317927E-03      5.123998258720E-04
    3.300000      1.959328308810E-03      4.152105054573E-04
    3.400000      1.802469936298E-03      3.813028716322E-04
    3.500000      1.990636259998E-03      4.292265681523E-04
    3.600000      2.538272337658E-03      5.691927913642E-04
    3.700000      3.394144640093E-03      7.986757582916E-04
    3.800000      4.473888830500E-03      1.100181444553E-03
    3.900000      5.665167014179E-03      1.442226345902E-03
    4.000000      6.829374488426E-03      1.783786153500E-03
    4.100000      7.823387118345E-03      2.081498306382E-03
    4.200000      8.529630979857E-03      2.298032530640E-03
    4.300000      8.876560184881E-03      2.409574808331E-03
    4.400000      8.849257746565E-03      2.410488574189E-03
    4.500000      8.490488766608E-03      2.313923458537E-03
    4.600000      7.892192032524E-03      2.148238279119E-03
    4.700000      7.178932891221E-03      1.950250905131E-03
    4.800000      6.486162828614E-03      1.757155370425E-03
    4.900000      5.935233136234E-03      1.599193277278E-03
    5.000000      5.603591471842E-03      1.494772048161E-03
    5.100000      5.501977692245E-03      1.448851994454E-03
    5.200000      5.587218649919E-03      1.454402585325E-03
    5.300000      5.791267341023E-03      1.495914502453E-03
    5.400000      6.039996202112E-03      1.553604635541E-03
    5.500000      6.263615916684E-03      1.607129104920E-03
    5.600000      6.402141670578E-03      1.638181117189E-03
    5.700000      6.407568152216E-03      1.632013615072E-03
