# M=20, N=10, max=1, V0=0.0, V=0.765, PBC
#  time (tJ)                 S₁(n=5)                 S₂(n=5)
    0.000000      2.753353101070E-14     -1.243449787580E-14
    0.100000      2.319078632915E-02      5.852516300438E-03
    0.200000      7.336423464863E-02      2.226592299342E-02
    0.300000      1.350697649508E-01      4.609315423907E-02
    0.400000      1.968149199656E-01      7.295353637895E-02
    0.500000      2.498282598804E-01      9.825808132441E-02
    0.600000      2.883071709330E-01      1.182049012516E-01
    0.700000      3.095433398863E-01      1.304978336158E-01
    0.800000      3.137944757275E-01      1.346469702581E-01
    0.900000      3.039262480880E-01      1.318317306734E-01
    1.000000      2.848501135002E-01      1.244090699746E-01
    1.100000      2.627569073424E-01      1.152191525188E-01
    1.200000      2.439395810635E-01      1.068742322034E-01
    1.300000      2.328796073446E-01      1.012059669787E-01
    1.400000      2.307648000454E-01      9.898940818425E-02
    1.500000      2.358809681792E-01      9.997342173429E-02
    1.600000      2.452359568276E-01      1.031582164354E-01
    1.700000      2.554693204104E-01      1.072027159524E-01
    1.800000      2.636081295189E-01      1.108332394290E-01
    1.900000      2.678406496280E-01      1.131527912904E-01
    2.000000      2.677170730105E-01      1.137961369775E-01
    2.100000      2.640632732353E-01      1.129220764650E-01
    2.200000      2.586637867308E-01      1.110729932493E-01
    2.300000      2.535844273267E-01      1.089584444223E-01
    2.400000      2.503977081134E-01      1.072296510891E-01
    2.500000      2.498756793060E-01      1.063048178294E-01
    2.600000      2.518175013637E-01      1.062863071391E-01
    2.700000      2.550345710358E-01      1.069837741072E-01
    2.800000      2.581262262072E-01      1.080234281131E-01
    2.900000      2.601692905331E-01      1.089907117091E-01
    3.000000      2.609572999143E-01      1.095418861310E-01
    3.100000      2.608435982189E-01      1.094440427203E-01
    3.200000      2.599678260860E-01      1.085504607861E-01
    3.300000      2.578421118574E-01      1.067546132336E-01
    3.400000      2.538041557677E-01      1.039658880023E-01
    3.500000      2.473814015162E-01      1.001188244970E-01
    3.600000      2.384674596564E-01      9.519524692554E-02
    3.700000      2.273278587483E-01      8.923295631955E-02
    3.800000      2.143386871358E-01      8.231815739559E-02
    3.900000      1.996195065416E-01      7.458673839161E-02
    4.000000      1.831204119362E-01      6.626207042598E-02
    4.100000      1.651191818895E-01      5.772771589578E-02
    4.200000      1.467152283718E-01      4.959636254834E-02
    4.300000      1.300901684033E-01      4.272324186838E-02
    4.400000      1.182980753781E-01      3.813328636605E-02
    4.500000      1.144485715233E-01      3.686859198469E-02
    4.600000      1.206362970234E-01      3.979117614585E-02
    4.700000      1.370957640888E-01      4.738434470923E-02
    4.800000      1.624146269429E-01      5.959006021198E-02
    4.900000      1.943415237681E-01      7.571133768308E-02
    5.000000      2.300048484725E-01      9.440421039784E-02
    5.100000      2.659653690011E-01      1.137801423132E-01
    5.200000      2.984942183455E-01      1.316282293699E-01
    5.300000      3.240484484791E-01      1.457412106222E-01
    5.400000      3.397443831454E-01      1.542948623086E-01
    5.500000      3.437196323080E-01      1.562020272537E-01
    5.600000      3.354007720536E-01      1.513560041349E-01
    5.700000      3.157013468228E-01      1.406983151135E-01
    5.800000      2.871422254686E-01      1.260862130746E-01
    5.900000      2.538504396029E-01      1.099826644931E-01
    6.000000      2.213693837491E-01      9.503111735185E-02
    6.100000      1.960931971975E-01      8.359780490402E-02
    6.200000      1.835578204767E-01      7.736445577685E-02
    6.300000      1.856420247067E-01      7.704198726138E-02
    6.400000      2.002932887095E-01      8.225801081855E-02
    6.500000      2.232428701200E-01      9.164670861496E-02
    6.600000      2.492808541098E-01      1.031338972020E-01
    6.700000      2.733581060160E-01      1.143646197639E-01
    6.800000      2.914661756705E-01      1.231795317851E-01
    6.900000      3.010587211913E-01      1.280293321428E-01
    7.000000      3.011739667379E-01      1.282339491911E-01
    7.100000      2.923912100106E-01      1.240383386580E-01
    7.200000      2.766535923427E-01      1.164714774454E-01
    7.300000      2.569662882785E-01      1.070606147334E-01
    7.400000      2.369513718893E-01      9.747664219989E-02
    7.500000      2.201925778507E-01      8.918690769687E-02
    7.600000      2.093302243698E-01      8.317768748608E-02
    7.700000      2.051503605400E-01      7.979075603716E-02
    7.800000      2.063173233725E-01      7.870075875964E-02
    7.900000      2.101543583928E-01      7.903860761261E-02
    8.000000      2.136920917623E-01      7.963753953904E-02
    8.100000      2.143953218955E-01      7.934706186031E-02
    8.200000      2.106293465678E-01      7.733765765991E-02
    8.300000      2.019036732588E-01      7.331842380786E-02
    8.400000      1.889591455469E-01      6.761479520894E-02
    8.500000      1.737313460972E-01      6.109534235316E-02
    8.600000      1.591312693467E-01      5.497851744983E-02
    8.700000      1.484673236273E-01      5.057721815688E-02
    8.800000      1.444702833279E-01      4.904462181719E-02
    8.900000      1.486672475568E-01      5.117153709408E-02
    9.000000      1.612282237860E-01      5.726261161929E-02
    9.100000      1.810340013828E-01      6.709712956967E-02
    9.200000      2.059950726255E-01      7.996690376106E-02
    9.300000      2.334501745857E-01      9.477813560714E-02
    9.400000      2.606610890788E-01      1.101997065165E-01
    9.500000      2.852891438055E-01      1.248330444710E-01
