# M=26, N=13, V0=0.0, V=-0.5, PBC
#  time (tJ)                 S₁(n=1)                 S₂(n=1)
    0.000000      4.440892098501E-16     -8.881784197001E-16
    0.100000      3.863118938547E-03      8.972069298334E-04
    0.200000      1.243201650157E-02      3.420448104547E-03
    0.300000      2.320636990963E-02      7.106889702636E-03
    0.400000      3.424919638870E-02      1.131359632630E-02
    0.500000      4.405175700043E-02      1.537038954679E-02
    0.600000      5.161668114652E-02      1.872772735939E-02
    0.700000      5.649667442554E-02      2.106023262465E-02
    0.800000      5.876035953944E-02      2.230261557131E-02
    0.900000      5.889126986140E-02      2.261664771882E-02
    1.000000      5.763675119593E-02      2.230786360733E-02
    1.100000      5.582838054038E-02      2.172255967440E-02
    1.200000      5.419590266609E-02      2.115658173286E-02
    1.300000      5.320259480264E-02      2.079845212510E-02
    1.400000      5.297235611226E-02      2.071489388063E-02
    1.500000      5.336005483979E-02      2.087243625506E-02
    1.600000      5.409265945916E-02      2.117933763213E-02
    1.700000      5.489405365521E-02      2.152980980609E-02
    1.800000      5.556042043923E-02      2.183677256650E-02
    1.900000      5.598430448640E-02      2.204720508117E-02
    2.000000      5.614123988865E-02      2.214194324992E-02
    2.100000      5.605934260449E-02      2.212660564026E-02
    2.200000      5.579068056742E-02      2.202105869514E-02
    2.300000      5.539509027968E-02      2.185220796283E-02
    2.400000      5.493670171728E-02      2.165095665695E-02
    2.500000      5.448595260557E-02      2.145111121569E-02
    2.600000      5.411794379236E-02      2.128717959213E-02
    2.700000      5.390160619944E-02      2.118939251497E-02
    2.800000      5.388139889188E-02      2.117673947758E-02
    2.900000      5.406002809319E-02      2.125080649311E-02
    3.000000      5.439226742870E-02      2.139360608707E-02
    3.100000      5.479483471769E-02      2.157120505061E-02
    3.200000      5.516932654829E-02      2.174252119532E-02
    3.300000      5.542973606960E-02      2.187040916216E-02
    3.400000      5.552489776869E-02      2.193117351112E-02
    3.500000      5.544874920705E-02      2.191935656182E-02
    3.600000      5.523624302958E-02      2.184664641513E-02
    3.700000      5.494806560747E-02      2.173606077783E-02
    3.800000      5.465091028476E-02      2.161414219711E-02
    3.900000      5.440056005581E-02      2.150414107749E-02
    4.000000      5.423255300117E-02      2.142213625868E-02
    4.100000      5.416126669515E-02      2.137639751779E-02
    4.200000      5.418478315130E-02      2.136888220528E-02
    4.300000      5.429120236956E-02      2.139720149864E-02
    4.400000      5.446272936466E-02      2.145580783346E-02
    4.500000      5.467646395310E-02      2.153615903586E-02
    4.600000      5.490372023804E-02      2.162656941099E-02
    4.700000      5.511095302684E-02      2.171282409596E-02
    4.800000      5.526432535542E-02      2.178023698741E-02
    4.900000      5.533754136319E-02      2.181692936018E-02
    5.000000      5.532025822194E-02      2.181722032398E-02
    5.100000      5.522329632844E-02      2.178365926884E-02
    5.200000      5.507752492831E-02      2.172662081487E-02
    5.300000      5.492563221329E-02      2.166135710498E-02
    5.400000      5.480919362352E-02      2.160348986968E-02
    5.500000      5.475599581310E-02      2.156459418682E-02
    5.600000      5.477281287932E-02      2.154945444689E-02
    5.700000      5.484633567594E-02      2.155580479453E-02
    5.800000      5.495108744244E-02      2.157628046786E-02
    5.900000      5.506005637546E-02      2.160141689016E-02
    6.000000      5.515298823589E-02      2.162222959474E-02
    6.100000      5.521893278650E-02      2.163127421595E-02
    6.200000      5.525252267701E-02      2.162188492528E-02
    6.300000      5.524611401155E-02      2.158610811024E-02
    6.400000      5.518139083661E-02      2.151231357812E-02
    6.500000      5.502399303806E-02      2.138342574620E-02
    6.600000      5.472316985962E-02      2.117629389484E-02
    6.700000      5.421571027555E-02      2.086222106613E-02
    6.800000      5.343077328434E-02      2.040840821233E-02
    6.900000      5.229194220029E-02      1.978018318742E-02
    7.000000      5.071656804739E-02      1.894425660505E-02
    7.100000      4.861863165352E-02      1.787356395167E-02
    7.200000      4.592260500021E-02      1.655417421864E-02
    7.300000      4.258886976931E-02      1.499409829974E-02
    7.400000      3.864487848967E-02      1.323273617060E-02
    7.500000      3.421591360183E-02      1.134855749017E-02
    7.600000      2.955131207600E-02      9.461939526959E-03
    7.700000      2.504251070118E-02      7.730321372577E-03
    7.800000      2.122370735933E-02      6.334122349148E-03
    7.900000      1.872434825135E-02      5.453994310015E-03
    8.000000      1.811333376681E-02      5.242397551075E-03
    8.100000      1.966197800099E-02      5.794528566823E-03
    8.200000      2.324703608912E-02      7.124670429869E-03
    8.300000      2.844658709380E-02      9.153710240605E-03
    8.400000      3.467306122285E-02      1.171183776364E-02
    8.500000      4.127371494944E-02      1.455761479258E-02
    8.600000      4.760695329835E-02      1.741126804746E-02
    8.700000      5.311441238372E-02      1.999692513684E-02
    8.800000      5.738308814947E-02      2.208625715441E-02
    8.900000      6.018670234140E-02      2.353509664404E-02
    9.000000      6.150326510123E-02      2.430530671158E-02
    9.100000      6.150917389650E-02      2.446651965023E-02
    9.200000      6.055000887067E-02      2.417618075464E-02
    9.300000      5.908542571615E-02      2.364115219051E-02
    9.400000      5.760355603749E-02      2.306899415626E-02
    9.500000      5.650791912046E-02      2.262053071496E-02
    9.600000      5.600476795614E-02      2.237597949907E-02
    9.700000      5.604803683756E-02      2.232399432766E-02
    9.800000      5.638187099439E-02      2.237686809118E-02
    9.900000      5.665623006296E-02      2.240755349586E-02
   10.000000      5.655729144323E-02      2.229747606196E-02
   10.100000      5.591042154740E-02      2.198057115213E-02
   10.200000      5.473687532029E-02      2.146984113564E-02
   10.300000      5.325694268788E-02      2.085787649713E-02
   10.400000      5.183737836792E-02      2.029075808992E-02
   10.500000      5.088722878037E-02      1.992318645822E-02
   10.600000      5.072119300651E-02      1.986892461568E-02
