# M=8, N=4, V0=0.0, V=-0.5, PBC
#  time (tJ)                 S₁(ℓ=4)                 S₂(ℓ=4)
    0.000000      1.043738030471E+00      7.729211234687E-01
    0.100000      1.044632504166E+00      7.744869458789E-01
    0.200000      1.047074187429E+00      7.789434968385E-01
    0.300000      1.050450470386E+00      7.856296943851E-01
    0.400000      1.054054573093E+00      7.936258986894E-01
    0.500000      1.057405485960E+00      8.019579154790E-01
    0.600000      1.060555735651E+00      8.097802019643E-01
    0.700000      1.063101078288E+00      8.164945774252E-01
    0.800000      1.064515017408E+00      8.217896163869E-01
    0.900000      1.064575363729E+00      8.256096227761E-01
    1.000000      1.063516582381E+00      8.280746320135E-01
    1.100000      1.062096971688E+00      8.293760643821E-01
    1.200000      1.061540211282E+00      8.296724124521E-01
    1.300000      1.062683014612E+00      8.290105621828E-01
    1.400000      1.065114453752E+00      8.272990300125E-01
    1.500000      1.067772130744E+00      8.243507352158E-01
    1.600000      1.069388237256E+00      8.199890699001E-01
    1.700000      1.069098573613E+00      8.141802786536E-01
    1.800000      1.066757568623E+00      8.071380231822E-01
    1.900000      1.062933036679E+00      7.993571556723E-01
    2.000000      1.058716286045E+00      7.915655983344E-01
    2.100000      1.054815218737E+00      7.846125789977E-01
    2.200000      1.051339934077E+00      7.793233750832E-01
    2.300000      1.048688267141E+00      7.763503540764E-01
    2.400000      1.047280628483E+00      7.760494139471E-01
    2.500000      1.047293420634E+00      7.784111201231E-01
    2.600000      1.048595185463E+00      7.830680629314E-01
    2.700000      1.050783260203E+00      7.893795447214E-01
    2.800000      1.053300149393E+00      7.965693798126E-01
    2.900000      1.055603970545E+00      8.038762589443E-01
    3.000000      1.057423647377E+00      8.106766850897E-01
    3.100000      1.058962978406E+00      8.165545020652E-01
    3.200000      1.059978188466E+00      8.213090961015E-01
    3.300000      1.060328270718E+00      8.249097702077E-01
    3.400000      1.060128311696E+00      8.274154063599E-01
    3.500000      1.059789499004E+00      8.288861632261E-01
    3.600000      1.060058021438E+00      8.293145172229E-01
    3.700000      1.061395890760E+00      8.285944931383E-01
    3.800000      1.063871341921E+00      8.265363758917E-01
    3.900000      1.067035396663E+00      8.229288933799E-01
    4.000000      1.069874673050E+00      8.176489817509E-01
    4.100000      1.071239152060E+00      8.108031356971E-01
    4.200000      1.070422841866E+00      8.028478909069E-01
    4.300000      1.067546769654E+00      7.946105336443E-01
    4.400000      1.063567935092E+00      7.871579331041E-01
    4.500000      1.059838471958E+00      7.815410836594E-01
    4.600000      1.057162297764E+00      7.785183104299E-01
    4.700000      1.055410140747E+00      7.783729237081E-01
    4.800000      1.054408192124E+00      7.808873736356E-01
    4.900000      1.054053303072E+00      7.854592912977E-01
    5.000000      1.054243133320E+00      7.912924474387E-01
    5.100000      1.054850916652E+00      7.975877211978E-01
    5.200000      1.055702281806E+00      8.036852100483E-01
    5.300000      1.056536872396E+00      8.091419814498E-01
    5.400000      1.057066067264E+00      8.137495854430E-01
    5.500000      1.057171130751E+00      8.175000428478E-01
    5.600000      1.057231288601E+00      8.205109599323E-01
    5.700000      1.057424681403E+00      8.229277802231E-01
    5.800000      1.057604112475E+00      8.248297629884E-01
    5.900000      1.057926328749E+00      8.261670944780E-01
    6.000000      1.058639173176E+00      8.267459252704E-01
    6.100000      1.059922420214E+00      8.262610653211E-01
    6.200000      1.061892738618E+00      8.243635778435E-01
    6.300000      1.064402444922E+00      8.207515744701E-01
    6.400000      1.066883811826E+00      8.152822756589E-01
    6.500000      1.068512772779E+00      8.081012864931E-01
    6.600000      1.068617760114E+00      7.997559769709E-01
    6.700000      1.067070654714E+00      7.912221205441E-01
    6.800000      1.064446138337E+00      7.837727667822E-01
    6.900000      1.061881109486E+00      7.786827623496E-01
    7.000000      1.060517398875E+00      7.768606421599E-01
    7.100000      1.060429638671E+00      7.785628096745E-01
    7.200000      1.060934468897E+00      7.833231003074E-01
    7.300000      1.061296985838E+00      7.901296146882E-01
    7.400000      1.061104290811E+00      7.977575401900E-01
    7.500000      1.060416731910E+00      8.050998430037E-01
    7.600000      1.059580651192E+00      8.113727145650E-01
    7.700000      1.058861485714E+00      8.161740013739E-01
    7.800000      1.058221262957E+00      8.194484559707E-01
    7.900000      1.057436338925E+00      8.214109981864E-01
