# M=10, N=5, max=1, V0=0.0, V=0.15, PBC
#  time (tJ)                 S₁(ℓ=5)                 S₂(ℓ=5)
    0.000000      1.115895506599E+00      9.060985786475E-01
    0.100000      1.115972983950E+00      9.060344890820E-01
    0.200000      1.116175483489E+00      9.058575947642E-01
    0.300000      1.116437082929E+00      9.056110154543E-01
    0.400000      1.116699217419E+00      9.053570316077E-01
    0.500000      1.116934275626E+00      9.051642666612E-01
    0.600000      1.117140469156E+00      9.050929634132E-01
    0.700000      1.117321915784E+00      9.051814021264E-01
    0.800000      1.117473933183E+00      9.054365604752E-01
    0.900000      1.117584591421E+00      9.058313233585E-01
    1.000000      1.117639551908E+00      9.063090898637E-01
    1.100000      1.117630504622E+00      9.067948700135E-01
    1.200000      1.117589469920E+00      9.072103175576E-01
    1.300000      1.117600083675E+00      9.074890533602E-01
    1.400000      1.117757635954E+00      9.075886114425E-01
    1.500000      1.118087442259E+00      9.074966575234E-01
    1.600000      1.118494247977E+00      9.072312856731E-01
    1.700000      1.118812860576E+00      9.068368958348E-01
    1.800000      1.118909190423E+00      9.063772746380E-01
    1.900000      1.118748397711E+00      9.059263414332E-01
    2.000000      1.118402942188E+00      9.055562938077E-01
    2.100000      1.118012438639E+00      9.053240161464E-01
    2.200000      1.117726228793E+00      9.052589468571E-01
    2.300000      1.117545207569E+00      9.053567194891E-01
    2.400000      1.117409232113E+00      9.055811001994E-01
    2.500000      1.117270614820E+00      9.058730894180E-01
    2.600000      1.117124768595E+00      9.061634904890E-01
    2.700000      1.117012711059E+00      9.063856058968E-01
    2.800000      1.116978849796E+00      9.064868374684E-01
    2.900000      1.117022006535E+00      9.064390819602E-01
    3.000000      1.117093742259E+00      9.062466851940E-01
    3.100000      1.117142036542E+00      9.059489283986E-01
    3.200000      1.117148498770E+00      9.056141237303E-01
    3.300000      1.117129545429E+00      9.053251354005E-01
    3.400000      1.117115245126E+00      9.051597711729E-01
    3.500000      1.117122944514E+00      9.051716028002E-01
    3.600000      1.117162050662E+00      9.053764058057E-01
    3.700000      1.117237635841E+00      9.057473506507E-01
    3.800000      1.117339364791E+00      9.062196744264E-01
    3.900000      1.117453838267E+00      9.067035938565E-01
    4.000000      1.117593709865E+00      9.071027891871E-01
    4.100000      1.117790880549E+00      9.073348127577E-01
    4.200000      1.118059196530E+00      9.073493084664E-01
    4.300000      1.118339701157E+00      9.071401057008E-01
    4.400000      1.118500790821E+00      9.067481674436E-01
    4.500000      1.118465692258E+00      9.062540494246E-01
    4.600000      1.118255654085E+00      9.057608554668E-01
    4.700000      1.117982366338E+00      9.053712350532E-01
    4.800000      1.117794403932E+00      9.051639585567E-01
    4.900000      1.117777884036E+00      9.051761218355E-01
    5.000000      1.117869642122E+00      9.053956334221E-01
    5.100000      1.117972105862E+00      9.057657165526E-01
    5.200000      1.118012212479E+00      9.061997760732E-01
    5.300000      1.117961990345E+00      9.066022927088E-01
    5.400000      1.117830039851E+00      9.068901581083E-01
    5.500000      1.117635485758E+00      9.070092624182E-01
    5.600000      1.117425573541E+00      9.069429796290E-01
    5.700000      1.117249455892E+00      9.067118581267E-01
    5.800000      1.117120748879E+00      9.063662937775E-01
    5.900000      1.117020752523E+00      9.059751517743E-01
    6.000000      1.116928043801E+00      9.056128574446E-01
    6.100000      1.116846728215E+00      9.053463000320E-01
    6.200000      1.116815327044E+00      9.052225065872E-01
    6.300000      1.116879110274E+00      9.052590241521E-01
    6.400000      1.117013901688E+00      9.054400593656E-01
    6.500000      1.117146424433E+00      9.057206956618E-01
    6.600000      1.117228940036E+00      9.060384713539E-01
    6.700000      1.117273714405E+00      9.063282425965E-01
    6.800000      1.117337937516E+00      9.065353071347E-01
    6.900000      1.117458511721E+00      9.066239182500E-01
    7.000000      1.117602257730E+00      9.065814142522E-01
    7.100000      1.117696232191E+00      9.064194501343E-01
    7.200000      1.117699955780E+00      9.061727090179E-01
    7.300000      1.117647034645E+00      9.058940084355E-01
    7.400000      1.117631290049E+00      9.056450260291E-01
    7.500000      1.117760110554E+00      9.054839010892E-01
    7.600000      1.118022621009E+00      9.054528296541E-01
    7.700000      1.118296174605E+00      9.055689251661E-01
    7.800000      1.118463456372E+00      9.058202798235E-01
    7.900000      1.118450915806E+00      9.061676156794E-01
    8.000000      1.118253127451E+00      9.065509843102E-01
    8.100000      1.117929742906E+00      9.069004797077E-01
    8.200000      1.117580230021E+00      9.071493641209E-01
    8.300000      1.117296147962E+00      9.072473088036E-01
    8.400000      1.117119490273E+00      9.071710192952E-01
    8.500000      1.117037655775E+00      9.069297292490E-01
    8.600000      1.117010952494E+00      9.065639785024E-01
    8.700000      1.117003485545E+00      9.061375607629E-01
    8.800000      1.116997537005E+00      9.057242177251E-01
    8.900000      1.116986225638E+00      9.053921170931E-01
    9.000000      1.116959562254E+00      9.051898542757E-01
    9.100000      1.116899657955E+00      9.051373152089E-01
    9.200000      1.116789987924E+00      9.052233355172E-01
    9.300000      1.116633615745E+00      9.054102363847E-01
    9.400000      1.116464532378E+00      9.056436788325E-01
    9.500000      1.116334454733E+00      9.058652816206E-01
    9.600000      1.116287740023E+00      9.060251614873E-01
    9.700000      1.116345288469E+00      9.060918492243E-01
    9.800000      1.116498526563E+00      9.060577853669E-01
    9.900000      1.116719595795E+00      9.059396848300E-01
   10.000000      1.116980195670E+00      9.057742186390E-01
   10.100000      1.117261434134E+00      9.056102823118E-01
   10.200000      1.117552939344E+00      9.054993402195E-01
   10.300000      1.117845962450E+00      9.054851661884E-01
   10.400000      1.118136437102E+00      9.055943138976E-01
   10.500000      1.118413457402E+00      9.058291260155E-01
   10.600000      1.118577375702E+00      9.061654756033E-01
   10.700000      1.118566005712E+00      9.065567065587E-01
   10.800000      1.118396438863E+00      9.069430995347E-01
   10.900000      1.118176467342E+00      9.072638289990E-01
   11.000000      1.118063418214E+00      9.074676800521E-01
   11.100000      1.118152309946E+00      9.075204225816E-01
   11.200000      1.118383265781E+00      9.074091618532E-01
   11.300000      1.118595867395E+00      9.071448455353E-01
   11.400000      1.118654636289E+00      9.067627481884E-01
   11.500000      1.118517218339E+00      9.063190397153E-01
   11.600000      1.118233048547E+00      9.058818721709E-01
   11.700000      1.117912625930E+00      9.055180497712E-01
   11.800000      1.117629404535E+00      9.052790770717E-01
   11.900000      1.117366301881E+00      9.051908899408E-01
   12.000000      1.117111034437E+00      9.052497217568E-01
   12.100000      1.116866431782E+00      9.054241721479E-01
   12.200000      1.116663576093E+00      9.056622864070E-01
   12.300000      1.116543394018E+00      9.059023126845E-01
   12.400000      1.116530258501E+00      9.060856811344E-01
   12.500000      1.116616865719E+00      9.061700253231E-01
   12.600000      1.116769029438E+00      9.061392721461E-01
   12.700000      1.116945511564E+00      9.060079112840E-01
   12.800000      1.117109237776E+00      9.058178589818E-01
