# M=14, N=7, max=1, V0=0.0, V=-0.15, PBC
#  time (tJ)                 S₁(ℓ=7)                 S₂(ℓ=7)
    0.000000      1.226143807842E+00      9.783680249733E-01
    0.100000      1.226221518567E+00      9.785228317947E-01
    0.200000      1.226431996892E+00      9.789593625936E-01
    0.300000      1.226720355538E+00      9.796004384839E-01
    0.400000      1.227030890761E+00      9.803372074287E-01
    0.500000      1.227334032809E+00      9.810529928077E-01
    0.600000      1.227626587470E+00      9.816471332508E-01
    0.700000      1.227912849361E+00      9.820531820157E-01
    0.800000      1.228195017118E+00      9.822479083836E-01
    0.900000      1.228474893766E+00      9.822502009451E-01
    1.000000      1.228755536165E+00      9.821113898967E-01
    1.100000      1.229041181626E+00      9.819001721104E-01
    1.200000      1.229334595356E+00      9.816860489142E-01
    1.300000      1.229632687699E+00      9.815249966390E-01
    1.400000      1.229923800283E+00      9.814501436835E-01
    1.500000      1.230189573566E+00      9.814687951506E-01
    1.600000      1.230412365186E+00      9.815655774166E-01
    1.700000      1.230586341532E+00      9.817101280364E-01
    1.800000      1.230727190391E+00      9.818669099960E-01
    1.900000      1.230872793950E+00      9.820045346302E-01
    2.000000      1.231068013299E+00      9.821024484158E-01
    2.100000      1.231335716392E+00      9.821538365667E-01
    2.200000      1.231652039481E+00      9.821647990647E-01
    2.300000      1.231943579391E+00      9.821508010036E-01
    2.400000      1.232121703864E+00      9.821317060160E-01
    2.500000      1.232125822216E+00      9.821263757186E-01
    2.600000      1.231949337176E+00      9.821473481466E-01
    2.700000      1.231642072059E+00      9.821960959070E-01
    2.800000      1.231284501251E+00      9.822599143951E-01
    2.900000      1.230945825268E+00      9.823119776066E-01
    3.000000      1.230653518325E+00      9.823156989300E-01
    3.100000      1.230394551538E+00      9.822330815951E-01
    3.200000      1.230140085510E+00      9.820350233074E-01
    3.300000      1.229868621146E+00      9.817106353051E-01
    3.400000      1.229574738692E+00      9.812729913188E-01
    3.500000      1.229268742409E+00      9.807598907086E-01
    3.600000      1.228972791855E+00      9.802294649930E-01
    3.700000      1.228714034066E+00      9.797514164540E-01
    3.800000      1.228517691606E+00      9.793954040855E-01
    3.900000      1.228399928998E+00      9.792186491400E-01
    4.000000      1.228362162758E+00      9.792550903859E-01
    4.100000      1.228393486775E+00      9.795082297127E-01
    4.200000      1.228476780078E+00      9.799491824109E-01
    4.300000      1.228592397261E+00      9.805204976745E-01
    4.400000      1.228721052335E+00      9.811451809140E-01
    4.500000      1.228848158857E+00      9.817392589578E-01
    4.600000      1.228968119234E+00      9.822255196017E-01
    4.700000      1.229083485447E+00      9.825459504632E-01
