# M=20, N=10, max=1, V0=0.0, V=0.765, PBC
#  time (tJ)                S₁(ℓ=10)                S₂(ℓ=10)
    0.000000      1.344029514838E+00      1.023174538959E+00
    0.100000      1.345997657749E+00      1.023339118796E+00
    0.200000      1.350984208712E+00      1.023796359719E+00
    0.300000      1.357292514369E+00      1.024465132835E+00
    0.400000      1.363711646688E+00      1.025284057951E+00
    0.500000      1.369882266978E+00      1.026265180262E+00
    0.600000      1.376041986547E+00      1.027498487325E+00
    0.700000      1.382561454486E+00      1.029103628961E+00
    0.800000      1.389624171877E+00      1.031159645163E+00
    0.900000      1.397173679433E+00      1.033653728469E+00
    1.000000      1.405049891695E+00      1.036472962316E+00
    1.100000      1.413124542274E+00      1.039435054068E+00
    1.200000      1.421324634169E+00      1.042335489383E+00
    1.300000      1.429579865629E+00      1.044988165965E+00
    1.400000      1.437770247951E+00      1.047248965338E+00
    1.500000      1.445709655385E+00      1.049025003005E+00
    1.600000      1.453165458340E+00      1.050278197675E+00
    1.700000      1.459903895926E+00      1.051029869831E+00
    1.800000      1.465755203155E+00      1.051367747072E+00
    1.900000      1.470677306698E+00      1.051452005968E+00
    2.000000      1.474812853394E+00      1.051513879474E+00
    2.100000      1.478537620304E+00      1.051838568555E+00
    2.200000      1.482465936036E+00      1.052724715254E+00
    2.300000      1.487323200930E+00      1.054418284732E+00
    2.400000      1.493545847849E+00      1.057031023058E+00
    2.500000      1.500740409017E+00      1.060469388343E+00
    2.600000      1.507671109750E+00      1.064409588415E+00
    2.700000      1.512844491399E+00      1.068346730392E+00
    2.800000      1.515080025208E+00      1.071716575131E+00
    2.900000      1.513869782493E+00      1.074048001768E+00
    3.000000      1.509518630717E+00      1.075079018983E+00
    3.100000      1.503019690126E+00      1.074783269527E+00
    3.200000      1.495665748810E+00      1.073305713739E+00
    3.300000      1.488504327854E+00      1.070861111062E+00
    3.400000      1.481944506985E+00      1.067665166890E+00
    3.500000      1.475787461601E+00      1.063932903712E+00
    3.600000      1.469609466285E+00      1.059920253575E+00
    3.700000      1.463154443541E+00      1.055949480592E+00
    3.800000      1.456453652687E+00      1.052373791859E+00
    3.900000      1.449732242570E+00      1.049487664940E+00
    4.000000      1.443273236693E+00      1.047435219327E+00
    4.100000      1.437329905524E+00      1.046174484320E+00
    4.200000      1.432090080929E+00      1.045518660821E+00
    4.300000      1.427676761194E+00      1.045225123803E+00
    4.400000      1.424197005569E+00      1.045075302245E+00
    4.500000      1.421790392979E+00      1.044902337581E+00
