# M=24, N=12, V0=0.0, V=0.15, PBC
#  time (tJ)                S₁(ℓ=12)                S₂(ℓ=12)
    0.000000      1.404509022984E+00      1.071424665818E+00
    0.100000      1.404585969136E+00      1.071282452752E+00
    0.200000      1.404790783485E+00      1.070878433205E+00
    0.300000      1.405065596005E+00      1.070276305868E+00
    0.400000      1.405358163018E+00      1.069569042830E+00
    0.500000      1.405643903243E+00      1.068861505950E+00
    0.600000      1.405924085714E+00      1.068250885606E+00
    0.700000      1.406210728839E+00      1.067809185448E+00
    0.800000      1.406513370713E+00      1.067571736973E+00
    0.900000      1.406835856058E+00      1.067534226375E+00
    1.000000      1.407180452638E+00      1.067658370587E+00
    1.100000      1.407549546054E+00      1.067884055654E+00
    1.200000      1.407946267557E+00      1.068144294829E+00
    1.300000      1.408374517828E+00      1.068379177302E+00
    1.400000      1.408835051662E+00      1.068545898627E+00
    1.500000      1.409322580066E+00      1.068623460095E+00
    1.600000      1.409827118188E+00      1.068612117412E+00
    1.700000      1.410337762482E+00      1.068528757060E+00
    1.800000      1.410845769047E+00      1.068399940347E+00
    1.900000      1.411345261835E+00      1.068254427617E+00
    2.000000      1.411832113749E+00      1.068116714719E+00
    2.100000      1.412302385989E+00      1.068002632807E+00
    2.200000      1.412751323970E+00      1.067917512551E+00
    2.300000      1.413173380480E+00      1.067856894358E+00
    2.400000      1.413563057508E+00      1.067809342815E+00
    2.500000      1.413916164849E+00      1.067760630453E+00
    2.600000      1.414231385504E+00      1.067698401587E+00
    2.700000      1.414512146744E+00      1.067616401533E+00
    2.800000      1.414768451992E+00      1.067517441804E+00
    2.900000      1.415017707973E+00      1.067414453364E+00
    3.000000      1.415282897358E+00      1.067329256071E+00
    3.100000      1.415586333137E+00      1.067289051290E+00
    3.200000      1.415939007251E+00      1.067321119930E+00
    3.300000      1.416329588164E+00      1.067446717376E+00
    3.400000      1.416720055299E+00      1.067675552624E+00
    3.500000      1.417052827088E+00      1.068002316096E+00
    3.600000      1.417268084776E+00      1.068406319461E+00
    3.700000      1.417324186598E+00      1.068854457978E+00
    3.800000      1.417212391770E+00      1.069306688104E+00
    3.900000      1.416959610129E+00      1.069722483318E+00
    4.000000      1.416617974274E+00      1.070066652240E+00
    4.100000      1.416245773485E+00      1.070313486534E+00
    4.200000      1.415887246509E+00      1.070449063342E+00
    4.300000      1.415559636527E+00      1.070472121476E+00
    4.400000      1.415255834437E+00      1.070393963363E+00
    4.500000      1.414959510522E+00      1.070237452785E+00
    4.600000      1.414657372455E+00      1.070034825386E+00
    4.700000      1.414342081509E+00      1.069824068402E+00
    4.800000      1.414011105793E+00      1.069644065695E+00
    4.900000      1.413666416066E+00      1.069529236967E+00
    5.000000      1.413314480471E+00      1.069504684247E+00
    5.100000      1.412963547882E+00      1.069582761977E+00
    5.200000      1.412618636208E+00      1.069761615471E+00
    5.300000      1.412279057433E+00      1.070025786455E+00
    5.400000      1.411941658939E+00      1.070348614454E+00
    5.500000      1.411606958660E+00      1.070695928607E+00
    5.600000      1.411282037253E+00      1.071030427687E+00
    5.700000      1.410977334091E+00      1.071316160528E+00
    5.800000      1.410701352641E+00      1.071522594041E+00
    5.900000      1.410459251124E+00      1.071627827086E+00
    6.000000      1.410255242732E+00      1.071620543656E+00
    6.100000      1.410094517090E+00      1.071500350213E+00
    6.200000      1.409982120311E+00      1.071276334918E+00
    6.300000      1.409919026986E+00      1.070964108341E+00
    6.400000      1.409898364208E+00      1.070582142160E+00
    6.500000      1.409905814894E+00      1.070148612645E+00
    6.600000      1.409925105980E+00      1.069679850338E+00
    6.700000      1.409945376714E+00      1.069190822765E+00
    6.800000      1.409965730842E+00      1.068697139428E+00
    6.900000      1.409994119693E+00      1.068217365687E+00
    7.000000      1.410041753854E+00      1.067774297678E+00
    7.100000      1.410117148875E+00      1.067394254815E+00
    7.200000      1.410222965858E+00      1.067104122149E+00
    7.300000      1.410356313258E+00      1.066926583459E+00
    7.400000      1.410511233561E+00      1.066874622571E+00
    7.500000      1.410681292744E+00      1.066946839728E+00
    7.600000      1.410861152378E+00      1.067125225009E+00
    7.700000      1.411047311350E+00      1.067376536607E+00
    7.800000      1.411238231473E+00      1.067657376346E+00
    7.900000      1.411433778785E+00      1.067921819483E+00
    8.000000      1.411634334703E+00      1.068129588035E+00
    8.100000      1.411840197500E+00      1.068252631538E+00
    8.200000      1.412051444628E+00      1.068278596988E+00
    8.300000      1.412267950854E+00      1.068210718086E+00
    8.400000      1.412489272827E+00      1.068064721208E+00
    8.500000      1.412714749389E+00      1.067864098752E+00
    8.600000      1.412944543367E+00      1.067635352360E+00
    8.700000      1.413181503649E+00      1.067404523994E+00
    8.800000      1.413432455611E+00      1.067195630850E+00
    8.900000      1.413706967341E+00      1.067030757054E+00
    9.000000      1.414012560870E+00      1.066930852538E+00
    9.100000      1.414348407551E+00      1.066916015395E+00
    9.200000      1.414702303097E+00      1.067004296418E+00
    9.300000      1.415053593160E+00      1.067208769733E+00
    9.400000      1.415379364394E+00      1.067533497925E+00
    9.500000      1.415659216752E+00      1.067969737658E+00
    9.600000      1.415876506705E+00      1.068493974565E+00
    9.700000      1.416017630707E+00      1.069069000394E+00
    9.800000      1.416072644075E+00      1.069648349920E+00
    9.900000      1.416038815923E+00      1.070183322077E+00
   10.000000      1.415925171747E+00      1.070630937191E+00
   10.100000      1.415754014339E+00      1.070960863353E+00
   10.200000      1.415556157110E+00      1.071159685844E+00
   10.300000      1.415360554327E+00      1.071231733953E+00
   10.400000      1.415184136866E+00      1.071196674108E+00
   10.500000      1.415028031906E+00      1.071084854063E+00
   10.600000      1.414881289972E+00      1.070931702438E+00
   10.700000      1.414728741169E+00      1.070772340909E+00
   10.800000      1.414558427844E+00      1.070637145922E+00
   10.900000      1.414365416878E+00      1.070548571352E+00
   11.000000      1.414151500197E+00      1.070519299037E+00
   11.100000      1.413922716907E+00      1.070551731045E+00
   11.200000      1.413687128123E+00      1.070638838964E+00
   11.300000      1.413453725960E+00      1.070766283743E+00
   11.400000      1.413231788710E+00      1.070915469048E+00
   11.500000      1.413029541618E+00      1.071066901555E+00
   11.600000      1.412851751054E+00      1.071203090371E+00
   11.700000      1.412698146549E+00      1.071310350856E+00
   11.800000      1.412565305710E+00      1.071379254476E+00
   11.900000      1.412450741921E+00      1.071403914710E+00
   12.000000      1.412355290100E+00      1.071380618984E+00
   12.100000      1.412282037200E+00      1.071306398876E+00
   12.200000      1.412232836357E+00      1.071178006162E+00
   12.300000      1.412205199091E+00      1.070991553930E+00
   12.400000      1.412192449558E+00      1.070742907241E+00
   12.500000      1.412186887202E+00      1.070428800393E+00
   12.600000      1.412182547978E+00      1.070048565419E+00
   12.700000      1.412175993213E+00      1.069606210347E+00
   12.800000      1.412166196504E+00      1.069112385305E+00
   12.900000      1.412154578538E+00      1.068585613720E+00
   13.000000      1.412145029211E+00      1.068052175295E+00
   13.100000      1.412143240627E+00      1.067544276600E+00
   13.200000      1.412155278259E+00      1.067096583037E+00
   13.300000      1.412186098547E+00      1.066741663674E+00
   13.400000      1.412238598778E+00      1.066505248840E+00
   13.500000      1.412313262558E+00      1.066402303044E+00
   13.600000      1.412407746965E+00      1.066434740651E+00
   13.700000      1.412515747430E+00      1.066591207453E+00
   13.800000      1.412626519770E+00      1.066848832537E+00
   13.900000      1.412727674915E+00      1.067176379408E+00
   14.000000      1.412811294427E+00      1.067537956187E+00
   14.100000      1.412879145093E+00      1.067896489683E+00
   14.200000      1.412942500666E+00      1.068216519822E+00
   14.300000      1.413016661976E+00      1.068466378985E+00
   14.400000      1.413114590513E+00      1.068620234219E+00
   14.500000      1.413244186843E+00      1.068660550421E+00
   14.600000      1.413410051876E+00      1.068581187992E+00
   14.700000      1.413616239494E+00      1.068390705216E+00
   14.800000      1.413865713911E+00      1.068114785002E+00
   14.900000      1.414155893783E+00      1.067796365106E+00
   15.000000      1.414474162802E+00      1.067492234354E+00
   15.100000      1.414798469725E+00      1.067265617855E+00
   15.200000      1.415104283032E+00      1.067175488221E+00
   15.300000      1.415372900898E+00      1.067264681697E+00
   15.400000      1.415593982459E+00      1.067549851939E+00
   15.500000      1.415760933990E+00      1.068016318100E+00
   15.600000      1.415865129680E+00      1.068619712308E+00
   15.700000      1.415895924408E+00      1.069294324930E+00
   15.800000      1.415847551320E+00      1.069966002917E+00
   15.900000      1.415727241277E+00      1.070566243448E+00
   16.000000      1.415557309421E+00      1.071044130432E+00
   16.100000      1.415368334061E+00      1.071373722833E+00
   16.200000      1.415187703475E+00      1.071555821512E+00
   16.300000      1.415031613106E+00      1.071614262388E+00
   16.400000      1.414903636134E+00      1.071587899301E+00
   16.500000      1.414796810206E+00      1.071520272183E+00
   16.600000      1.414697501223E+00      1.071449464305E+00
   16.700000      1.414590985871E+00      1.071400547698E+00
   16.800000      1.414467072262E+00      1.071382179922E+00
   16.900000      1.414323366787E+00      1.071387638423E+00
   17.000000      1.414164747990E+00      1.071399409189E+00
   17.100000      1.413999428391E+00      1.071395786471E+00
   17.200000      1.413834093230E+00      1.071357802995E+00
   17.300000      1.413671474182E+00      1.071274964052E+00
   17.400000      1.413512229463E+00      1.071148549920E+00
   17.500000      1.413359869135E+00      1.070991727093E+00
   17.600000      1.413224504480E+00      1.070826438288E+00
   17.700000      1.413121068473E+00      1.070677887905E+00
   17.800000      1.413061709617E+00      1.070568076788E+00
   17.900000      1.413047468262E+00      1.070509993549E+00
   18.000000      1.413065778666E+00      1.070503725767E+00
   18.100000      1.413096166790E+00      1.070535142022E+00
   18.200000      1.413120069197E+00      1.070577201570E+00
   18.300000      1.413127957204E+00      1.070593548270E+00
   18.400000      1.413120021617E+00      1.070543857369E+00
   18.500000      1.413102006921E+00      1.070390335928E+00
   18.600000      1.413080496381E+00      1.070104700213E+00
   18.700000      1.413060677525E+00      1.069674770477E+00
   18.800000      1.413046349726E+00      1.069109542975E+00
   18.900000      1.413039811327E+00      1.068441378963E+00
   19.000000      1.413041063052E+00      1.067724066496E+00
   19.100000      1.413048253931E+00      1.067026200724E+00
   19.200000      1.413059486076E+00      1.066420567104E+00
   19.300000      1.413073752455E+00      1.065971592236E+00
   19.400000      1.413090259624E+00      1.065723808802E+00
   19.500000      1.413107649584E+00      1.065694173584E+00
   19.600000      1.413124224088E+00      1.065869976873E+00
   19.700000      1.413138536782E+00      1.066212479400E+00
   19.800000      1.413149685509E+00      1.066664969253E+00
   19.900000      1.413157883949E+00      1.067163095702E+00
   20.000000      1.413165983116E+00      1.067645202412E+00
   20.100000      1.413181210214E+00      1.068060795526E+00
   20.200000      1.413215356725E+00      1.068376011022E+00
   20.300000      1.413282292528E+00      1.068575758880E+00
   20.400000      1.413393629577E+00      1.068662902801E+00
   20.500000      1.413554702407E+00      1.068655232780E+00
   20.600000      1.413762859357E+00      1.068581086504E+00
   20.700000      1.414008834595E+00      1.068474382305E+00
   20.800000      1.414280376259E+00      1.068369673994E+00
   20.900000      1.414565907139E+00      1.068297696554E+00
   21.000000      1.414855441778E+00      1.068281759540E+00
   21.100000      1.415137268399E+00      1.068335283853E+00
   21.200000      1.415393617581E+00      1.068460781840E+00
   21.300000      1.415600776992E+00      1.068650583914E+00
   21.400000      1.415734001653E+00      1.068889458473E+00
   21.500000      1.415775206883E+00      1.069158838076E+00
   21.600000      1.415721098187E+00      1.069441749674E+00
   21.700000      1.415587845045E+00      1.069727072269E+00
   21.800000      1.415408312811E+00      1.070011748436E+00
   21.900000      1.415220372357E+00      1.070300144774E+00
   22.000000      1.415050646531E+00      1.070600657707E+00
   22.100000      1.414905136869E+00      1.070920518934E+00
   22.200000      1.414774263123E+00      1.071260295188E+00
   22.300000      1.414645282267E+00      1.071609718935E+00
   22.400000      1.414511199259E+00      1.071946253865E+00
   22.500000      1.414372549732E+00      1.072237214259E+00
   22.600000      1.414234255586E+00      1.072445364997E+00
   22.700000      1.414101343350E+00      1.072536900530E+00
   22.800000      1.413976214997E+00      1.072489859423E+00
   22.900000      1.413858228922E+00      1.072300713990E+00
   23.000000      1.413744932098E+00      1.071987239216E+00
   23.100000      1.413633809558E+00      1.071586700918E+00
   23.200000      1.413523887327E+00      1.071149609895E+00
   23.300000      1.413416991680E+00      1.070730425510E+00
   23.400000      1.413318523262E+00      1.070377374432E+00
   23.500000      1.413237200002E+00      1.070123779517E+00
   23.600000      1.413182600381E+00      1.069982882212E+00
   23.700000      1.413159765822E+00      1.069947166811E+00
   23.800000      1.413163674346E+00      1.069991932569E+00
   23.900000      1.413179753331E+00      1.070081723727E+00
   24.000000      1.413190174097E+00      1.070177610374E+00
   24.100000      1.413182357622E+00      1.070243412379E+00
   24.200000      1.413156133294E+00      1.070249686044E+00
   24.300000      1.413124649179E+00      1.070175315819E+00
   24.400000      1.413107248763E+00      1.070007440200E+00
   24.500000      1.413117327229E+00      1.069740846691E+00
   24.600000      1.413152053193E+00      1.069377777048E+00
   24.700000      1.413192567493E+00      1.068928442334E+00
   24.800000      1.413216367995E+00      1.068411802991E+00
   24.900000      1.413212133011E+00      1.067855700591E+00
   25.000000      1.413186036755E+00      1.067295468034E+00
   25.100000      1.413156143759E+00      1.066770671662E+00
   25.200000      1.413139006505E+00      1.066320391325E+00
   25.300000      1.413138009262E+00      1.065978063591E+00
   25.400000      1.413143644745E+00      1.065767125721E+00
   25.500000      1.413144057355E+00      1.065698443297E+00
   25.600000      1.413134766017E+00      1.065769933277E+00
   25.700000      1.413121185546E+00      1.065968162642E+00
   25.800000      1.413114300847E+00      1.066271239077E+00
   25.900000      1.413123702877E+00      1.066652136199E+00
   26.000000      1.413154007225E+00      1.067081715909E+00
   26.100000      1.413207263969E+00      1.067531038497E+00
   26.200000      1.413287185949E+00      1.067972945366E+00
   26.300000      1.413399908030E+00      1.068383200959E+00
   26.400000      1.413550810494E+00      1.068741568381E+00
   26.500000      1.413740741554E+00      1.069033039306E+00
   26.600000      1.413964489192E+00      1.069249132024E+00
   26.700000      1.414211498824E+00      1.069388882439E+00
   26.800000      1.414467486474E+00      1.069459047392E+00
   26.900000      1.414716559086E+00      1.069473192912E+00
   27.000000      1.414943050802E+00      1.069449694619E+00
   27.100000      1.415132992442E+00      1.069409074265E+00
   27.200000      1.415275820466E+00      1.069371352902E+00
   27.300000      1.415365990416E+00      1.069354098210E+00
   27.400000      1.415403782318E+00      1.069371573990E+00
   27.500000      1.415395158807E+00      1.069434964627E+00
   27.600000      1.415350779250E+00      1.069553210239E+00
   27.700000      1.415284016557E+00      1.069733716980E+00
   27.800000      1.415207869752E+00      1.069982218277E+00
   27.900000      1.415131652994E+00      1.070301382655E+00
   28.000000      1.415059426316E+00      1.070688306361E+00
   28.100000      1.414991129947E+00      1.071131610514E+00
   28.200000      1.414925260035E+00      1.071609256325E+00
   28.300000      1.414861481395E+00      1.072088217458E+00
   28.400000      1.414801977850E+00      1.072526755583E+00
   28.500000      1.414750343401E+00      1.072879347334E+00
   28.600000      1.414707834288E+00      1.073103540422E+00
   28.700000      1.414669408368E+00      1.073167415884E+00
   28.800000      1.414623642164E+00      1.073056053577E+00
   28.900000      1.414558247727E+00      1.072775474699E+00
   29.000000      1.414467933027E+00      1.072352947033E+00
   29.100000      1.414359231236E+00      1.071833257911E+00
   29.200000      1.414249395613E+00      1.071271508891E+00
   29.300000      1.414156041075E+00      1.070723939155E+00
   29.400000      1.414075529191E+00      1.070238878116E+00
   29.500000      1.413994485849E+00      1.069849859086E+00
   29.600000      1.413913629079E+00      1.069572195244E+00
   29.700000      1.413843781315E+00      1.069403260406E+00
   29.800000      1.413794092645E+00      1.069325765858E+00
   29.900000      1.413762593489E+00      1.069312755289E+00
   30.000000      1.413738323976E+00      1.069332913682E+00
   30.100000      1.413711498183E+00      1.069355064882E+00
   30.200000      1.413679956785E+00      1.069351323097E+00
   30.300000      1.413648299691E+00      1.069299034332E+00
   30.400000      1.413623159555E+00      1.069182040445E+00
   30.500000      1.413608469107E+00      1.068991700818E+00
   30.600000      1.413604748453E+00      1.068727682452E+00
   30.700000      1.413612845665E+00      1.068398213211E+00
   30.800000      1.413632972603E+00      1.068019539305E+00
   30.900000      1.413657957644E+00      1.067614556606E+00
   31.000000      1.413671037515E+00      1.067210658878E+00
   31.100000      1.413654352180E+00      1.066836752405E+00
   31.200000      1.413602125001E+00      1.066519488292E+00
   31.300000      1.413526464948E+00      1.066279299253E+00
   31.400000      1.413450127405E+00      1.066127470358E+00
   31.500000      1.413392082500E+00      1.066065543158E+00
   31.600000      1.413357849388E+00      1.066087514435E+00
   31.700000      1.413341715300E+00      1.066183974596E+00
