# M=24, N=12, V0=0.0, V=-1.9, PBC
#  time (tJ)                S₁(ℓ=12)                S₂(ℓ=12)
    0.000000      1.404509022984E+00      1.071424665818E+00
    0.100000      1.417024270838E+00      1.080869403484E+00
    0.200000      1.452246288396E+00      1.107840583940E+00
    0.300000      1.504615969398E+00      1.148653417492E+00
    0.400000      1.567632604754E+00      1.198356097367E+00
    0.500000      1.635692844761E+00      1.252024038761E+00
    0.600000      1.705050646609E+00      1.305813169836E+00
    0.700000      1.773872459289E+00      1.357454951894E+00
    0.800000      1.841711236440E+00      1.406172110033E+00
    0.900000      1.908810151531E+00      1.452230866052E+00
    1.000000      1.975543587820E+00      1.496405275850E+00
    1.100000      2.042124678691E+00      1.539546857530E+00
    1.200000      2.108556254918E+00      1.582333086726E+00
    1.300000      2.174723382855E+00      1.625181589808E+00
    1.400000      2.240517228980E+00      1.668275386168E+00
    1.500000      2.305914603104E+00      1.711636022569E+00
    1.600000      2.370986157722E+00      1.755194613959E+00
    1.700000      2.435847907049E+00      1.798836509646E+00
    1.800000      2.500593960389E+00      1.842421353623E+00
    1.900000      2.565248712477E+00      1.885794455805E+00
    2.000000      2.629757933138E+00      1.928803113194E+00
    2.100000      2.694012956039E+00      1.971318824931E+00
    2.200000      2.757885629278E+00      2.013254606262E+00
    2.300000      2.821251792743E+00      2.054564420845E+00
    2.400000      2.883994266105E+00      2.095220078127E+00
    2.500000      2.945990938263E+00      2.135173818881E+00
    2.600000      3.007097995810E+00      2.174323902310E+00
    2.700000      3.067130644804E+00      2.212500113683E+00
    2.800000      3.125834466777E+00      2.249476022351E+00
    2.900000      3.182843664588E+00      2.285000565121E+00
    3.000000      3.237639679613E+00      2.318832231339E+00
    3.100000      3.289539829871E+00      2.350761764832E+00
    3.200000      3.337741844369E+00      2.380621030047E+00
    3.300000      3.381423792559E+00      2.408283877200E+00
    3.400000      3.419869437726E+00      2.433661483736E+00
    3.500000      3.452581843724E+00      2.456690021857E+00
    3.600000      3.479370039714E+00      2.477319298924E+00
    3.700000      3.500420238193E+00      2.495530867200E+00
    3.800000      3.516356479676E+00      2.511410141736E+00
    3.900000      3.528251170353E+00      2.525250638319E+00
    4.000000      3.537513596263E+00      2.537612581630E+00
    4.100000      3.545618179809E+00      2.549254048968E+00
    4.200000      3.553728085853E+00      2.560921545953E+00
    4.300000      3.562357959767E+00      2.573079636961E+00
    4.400000      3.571233970068E+00      2.585706844818E+00
    4.500000      3.579433389746E+00      2.598262159994E+00
    4.600000      3.585760968514E+00      2.609855751437E+00
    4.700000      3.589212768447E+00      2.619572121494E+00
    4.800000      3.589343762611E+00      2.626820772876E+00
    4.900000      3.586403602856E+00      2.631559401868E+00
    5.000000      3.581203309356E+00      2.634278891576E+00
    5.100000      3.574780988450E+00      2.635753239592E+00
    5.200000      3.568012254389E+00      2.636679077931E+00
    5.300000      3.561331023409E+00      2.637381655301E+00
    5.400000      3.554675697542E+00      2.637722200331E+00
    5.500000      3.547676577085E+00      2.637243573460E+00
    5.600000      3.539999146182E+00      2.635489700099E+00
    5.700000      3.531694834092E+00      2.632359879022E+00
    5.800000      3.523402167016E+00      2.628330364540E+00
    5.900000      3.516288308549E+00      2.624416341576E+00
    6.000000      3.511720185137E+00      2.621862255732E+00
    6.100000      3.510781417334E+00      2.621687519771E+00
    6.200000      3.513848294667E+00      2.624294669777E+00
    6.300000      3.520441940617E+00      2.629319474774E+00
    6.400000      3.529448872604E+00      2.635787235332E+00
    6.500000      3.539595578885E+00      2.642499574306E+00
    6.600000      3.549920492084E+00      2.648477524784E+00
    6.700000      3.560020494140E+00      2.653271499124E+00
    6.800000      3.570005192466E+00      2.657018004935E+00
    6.900000      3.580235405427E+00      2.660239930105E+00
    7.000000      3.590995062346E+00      2.663499773060E+00
    7.100000      3.602257040704E+00      2.667077376590E+00
    7.200000      3.613652916769E+00      2.670827403293E+00
    7.300000      3.624651950100E+00      2.674280234630E+00
    7.400000      3.634847314487E+00      2.676926391857E+00
    7.500000      3.644198657702E+00      2.678534422944E+00
    7.600000      3.653109466967E+00      2.679342137761E+00
    7.700000      3.662299196473E+00      2.680028998556E+00
    7.800000      3.672521831293E+00      2.681481793778E+00
    7.900000      3.684252815109E+00      2.684457525575E+00
    8.000000      3.697487365661E+00      2.689290246773E+00
    8.100000      3.711742114120E+00      2.695764405107E+00
    8.200000      3.726244076163E+00      2.703195565983E+00
    8.300000      3.740193943483E+00      2.710661178616E+00
    8.400000      3.752968500914E+00      2.717263545907E+00
    8.500000      3.764184320113E+00      2.722316561875E+00
    8.600000      3.773632045412E+00      2.725412945616E+00
    8.700000      3.781154203964E+00      2.726400685341E+00
    8.800000      3.786557297320E+00      2.725331578461E+00
    8.900000      3.789619516466E+00      2.722430382004E+00
    9.000000      3.790190836622E+00      2.718091484892E+00
    9.100000      3.788320651380E+00      2.712873305533E+00
    9.200000      3.784329001617E+00      2.707451378822E+00
    9.300000      3.778769495689E+00      2.702511702492E+00
    9.400000      3.772286714401E+00      2.698600257421E+00
    9.500000      3.765416139112E+00      2.695971827316E+00
    9.600000      3.758402648763E+00      2.694491141689E+00
    9.700000      3.751118595271E+00      2.693633632282E+00
    9.800000      3.743130528059E+00      2.692612072694E+00
    9.900000      3.733899879913E+00      2.690613387732E+00
   10.000000      3.723036651119E+00      2.687072936384E+00
   10.100000      3.710494237381E+00      2.681874652898E+00
   10.200000      3.696620162875E+00      2.675383682615E+00
   10.300000      3.682046025801E+00      2.668294409172E+00
   10.400000      3.667469303962E+00      2.661362752399E+00
   10.500000      3.653417906528E+00      2.655133601810E+00
   10.600000      3.640085769879E+00      2.649759049899E+00
   10.700000      3.627292418867E+00      2.644955225848E+00
   10.800000      3.614570111613E+00      2.640093984655E+00
   10.900000      3.601335806792E+00      2.634385956522E+00
   11.000000      3.587076907466E+00      2.627090633812E+00
   11.100000      3.571484022785E+00      2.617691860856E+00
   11.200000      3.554499741143E+00      2.606000914152E+00
   11.300000      3.536297759134E+00      2.592180851411E+00
   11.400000      3.517234164848E+00      2.576707479111E+00
   11.500000      3.497805182179E+00      2.560286019870E+00
   11.600000      3.478612579937E+00      2.543735914912E+00
   11.700000      3.460309440074E+00      2.527854947126E+00
   11.800000      3.443505746231E+00      2.513286070656E+00
   11.900000      3.428657172841E+00      2.500425922899E+00
   12.000000      3.416004097336E+00      2.489412515265E+00
   12.100000      3.405610194208E+00      2.480201198486E+00
   12.200000      3.397480209179E+00      2.472695760479E+00
   12.300000      3.391685268788E+00      2.466871857946E+00
   12.400000      3.388417805163E+00      2.462832218115E+00
   12.500000      3.387933647722E+00      2.460766859297E+00
   12.600000      3.390408302299E+00      2.460838972593E+00
   12.700000      3.395783194682E+00      2.463053758081E+00
   12.800000      3.403686212714E+00      2.467175786160E+00
   12.900000      3.413471703158E+00      2.472737599173E+00
   13.000000      3.424366265821E+00      2.479140327253E+00
   13.100000      3.435661062640E+00      2.485806051443E+00
   13.200000      3.446875832093E+00      2.492319999691E+00
   13.300000      3.457835843944E+00      2.498507190149E+00
   13.400000      3.468639412373E+00      2.504418271366E+00
   13.500000      3.479537446753E+00      2.510238371330E+00
   13.600000      3.490782047636E+00      2.516163778164E+00
   13.700000      3.502507519082E+00      2.522301846269E+00
   13.800000      3.514682366624E+00      2.528635665708E+00
   13.900000      3.527136578162E+00      2.535062742742E+00
   14.000000      3.539640446589E+00      2.541480493862E+00
   14.100000      3.551990202384E+00      2.547867502812E+00
   14.200000      3.564050267686E+00      2.554310186553E+00
   14.300000      3.575726087215E+00      2.560951347554E+00
   14.400000      3.586887496378E+00      2.567879087524E+00
   14.500000      3.597292439664E+00      2.575011368198E+00
   14.600000      3.606562898873E+00      2.582042597458E+00
   14.700000      3.614242957104E+00      2.588494816519E+00
   14.800000      3.619930800765E+00      2.593866410246E+00
   14.900000      3.623438058020E+00      2.597819990797E+00
   15.000000      3.624905796514E+00      2.600325474210E+00
   15.100000      3.624815913594E+00      2.601689896922E+00
   15.200000      3.623879833524E+00      2.602456531830E+00
   15.300000      3.622843764994E+00      2.603216816828E+00
